customer_id,credit_score,bureau_accounts,active_accounts,overdue_accounts,total_bureau_loan_amount,credit_utilization
C100144,,3,5,1,657000.0,0.158
C100145,,7,3,1,1666900.0,0.65
C100146,736.0,5,3,0,699300.0,0.387
C100147,697.0,9,4,1,1210500.0,0.351
C100148,735.0,7,2,1,320100.0,0.259
C100149,719.0,1,3,1,1127900.0,0.197
C100150,601.0,5,2,0,404500.0,0.344
C100151,715.0,7,2,0,346900.0,0.289
C100152,631.0,3,2,0,873300.0,0.182
C100153,663.0,4,2,1,698300.0,0.115
C100154,618.0,9,3,0,210900.0,0.241
C100155,755.0,7,3,0,645300.0,0.211
C100156,692.0,7,1,0,555100.0,0.125
C100157,689.0,8,3,0,312300.0,0.384
C100158,778.0,4,2,0,347400.0,0.646
C100159,749.0,4,2,0,1126900.0,0.207
C100160,698.0,6,2,0,1591300.0,0.272
C100161,595.0,8,2,0,3494600.0,0.096
C100162,746.0,4,4,1,521900.0,0.169
C100163,695.0,5,5,0,975800.0,0.525
C100164,690.0,3,5,0,405800.0,0.063
C100165,750.0,5,5,0,228900.0,0.253
C100166,675.0,5,3,0,400200.0,0.539
C100167,705.0,6,1,0,559000.0,0.221
C100168,759.0,5,4,0,804800.0,0.11
C100169,741.0,5,2,1,1923500.0,0.418
C100170,676.0,5,4,0,187000.0,0.329
C100171,790.0,4,5,0,608000.0,0.294
C100172,773.0,6,2,1,1383900.0,0.45
C100173,814.0,10,2,1,263100.0,0.158
C100174,707.0,3,1,0,607900.0,0.153
C100175,722.0,5,3,0,875100.0,0.385
C100176,768.0,8,1,0,291800.0,0.558
C100177,734.0,7,2,1,753500.0,0.346
C100178,718.0,4,3,1,117800.0,0.513
C100179,704.0,6,2,0,300400.0,0.512
C100180,693.0,6,1,2,841800.0,0.585
C100181,674.0,12,2,0,135800.0,0.183
C100182,675.0,6,2,1,262200.0,0.395
C100183,732.0,9,3,0,635400.0,0.044
C100184,693.0,4,3,0,2232800.0,0.428
C100185,,4,1,1,352800.0,0.349
C100186,713.0,5,2,1,140400.0,0.226
C100187,,5,2,0,777800.0,0.584
C100188,785.0,4,5,0,1942500.0,0.173
C100189,600.0,7,3,0,250900.0,0.267
C100190,664.0,2,2,0,1796800.0,0.437
C100191,753.0,4,2,0,259700.0,0.073
C100192,714.0,2,2,1,687400.0,0.322
C100193,714.0,4,1,0,266200.0,0.239
C100194,703.0,4,2,2,466800.0,0.23
C100195,713.0,3,4,0,620500.0,0.126
C100196,654.0,4,2,1,372600.0,0.453
C100197,775.0,7,2,0,259700.0,0.315
C100198,653.0,4,2,1,1165600.0,0.264
C100199,702.0,4,3,0,319900.0,0.097
C100200,794.0,4,2,0,285000.0,0.03
C100201,770.0,6,4,0,1085200.0,0.423
C100202,710.0,4,3,0,434900.0,0.381
C100203,710.0,2,1,0,296300.0,0.544
C100204,677.0,5,3,0,500000.0,0.594
C100205,683.0,2,6,0,2058500.0,0.481
C100206,697.0,6,7,0,1143200.0,0.113
C100207,784.0,6,1,0,160600.0,0.131
C100208,687.0,3,2,0,177500.0,0.347
C100209,741.0,3,1,0,457700.0,0.224
C100210,734.0,3,6,2,886700.0,0.121
C100211,733.0,4,3,1,314000.0,0.436
C100212,695.0,6,3,0,506300.0,0.363
C100213,751.0,2,3,0,459100.0,0.364
C100214,719.0,10,2,0,680300.0,0.345
C100215,716.0,6,3,1,725600.0,0.168
C100216,685.0,3,3,0,727800.0,0.08
C100217,593.0,6,1,0,782900.0,0.286
C100218,751.0,6,6,0,491900.0,0.306
C100219,752.0,7,3,1,703700.0,0.646
C100220,683.0,4,1,3,373600.0,0.325
C100221,701.0,3,5,0,1315200.0,0.595
C100222,727.0,4,1,1,1018900.0,0.592
C100223,658.0,7,3,1,317300.0,0.262
C100224,,5,5,0,539600.0,0.43
C100225,750.0,3,3,0,1202900.0,0.637
C100226,758.0,1,4,0,799600.0,0.15
C100227,762.0,3,3,1,299100.0,0.124
C100228,607.0,10,2,0,253300.0,0.206
C100229,,6,1,0,258900.0,0.443
C100230,687.0,6,3,0,1162100.0,0.552
C100231,772.0,10,1,0,1016800.0,0.122
C100232,769.0,7,3,0,169500.0,0.077
C100233,756.0,6,5,0,480500.0,0.181
C100234,707.0,4,2,0,285500.0,0.357
C100235,,4,2,0,405700.0,0.127
C100236,709.0,8,2,0,130500.0,0.54
C100237,655.0,5,2,2,968300.0,0.063
C100238,765.0,4,5,0,530300.0,0.144
C100239,633.0,5,2,1,291800.0,0.259
C100240,817.0,6,7,0,328200.0,0.235
C100241,767.0,5,3,0,374400.0,0.738
C100242,784.0,7,2,0,564900.0,0.626
C100243,769.0,7,1,0,434700.0,0.477
C100244,734.0,2,3,0,418600.0,0.275
C100245,,4,5,2,2050200.0,0.108
C100246,679.0,14,3,0,370100.0,0.349
C100247,743.0,2,4,0,614300.0,0.338
C100248,701.0,4,3,0,207700.0,0.231
C100249,733.0,4,2,2,467800.0,0.268
C100250,675.0,6,1,0,253000.0,0.446
C100251,669.0,3,3,0,456600.0,0.526
C100252,729.0,5,3,0,732900.0,0.175
C100253,753.0,5,2,0,1136800.0,0.428
C100254,713.0,3,2,1,1346800.0,0.273
C100255,659.0,5,7,0,241300.0,0.127
C100256,622.0,4,3,0,733000.0,0.143
C100257,823.0,4,2,0,738100.0,0.212
C100258,650.0,4,2,0,124900.0,0.473
C100259,665.0,4,1,0,868000.0,0.296
C100260,672.0,7,4,0,839800.0,0.591
C100261,761.0,4,2,0,1057500.0,0.242
C100262,671.0,5,2,0,1807500.0,0.394
C100263,742.0,2,2,0,1925700.0,0.443
C100264,728.0,8,5,0,1019500.0,0.466
C100265,649.0,6,2,0,1266500.0,0.429
C100266,720.0,5,1,0,931600.0,0.053
C100267,645.0,10,4,0,939000.0,0.37
C100268,703.0,3,2,3,469300.0,0.208
C100269,752.0,5,2,1,473300.0,0.419
C100270,699.0,8,7,0,166200.0,0.258
C100271,662.0,2,1,0,288300.0,0.165
C100272,688.0,6,4,0,230700.0,0.159
C100273,701.0,4,4,0,1118500.0,0.287
C100274,729.0,7,2,0,341800.0,0.435
C100275,586.0,3,4,0,241400.0,0.181
C100276,,4,2,0,481300.0,0.36
C100277,737.0,4,3,0,924800.0,0.367
C100278,704.0,3,4,0,270100.0,0.348
C100279,711.0,5,1,1,298300.0,0.084
C100280,722.0,8,2,0,161500.0,0.451
C100281,701.0,4,3,0,154800.0,0.664
C100282,686.0,4,2,0,174800.0,0.655
C100283,716.0,4,3,0,291600.0,0.474
C100284,746.0,3,6,0,191400.0,0.058
C100285,728.0,5,3,0,417600.0,0.26
C100286,711.0,4,2,2,1107300.0,0.557
C100287,653.0,6,3,0,486800.0,0.226
C100288,723.0,5,4,0,515700.0,0.252
C100289,647.0,4,5,0,1183300.0,0.317
C100290,673.0,6,2,2,247500.0,0.271
C100291,718.0,5,4,0,844400.0,0.299
C100292,716.0,5,4,0,1314100.0,0.571
C100293,769.0,3,4,0,353900.0,0.169
C100294,758.0,3,3,0,995000.0,0.491
C100295,736.0,4,4,0,515200.0,0.387
C100296,692.0,5,2,1,441200.0,0.219
C100297,709.0,3,2,1,275900.0,0.203
C100298,697.0,4,2,0,1139900.0,0.094
C100299,804.0,6,2,1,992800.0,0.456
C100300,735.0,4,1,1,1140200.0,0.166
C100301,674.0,6,5,0,1125400.0,0.422
C100302,664.0,2,3,1,656600.0,0.244
C100303,777.0,4,2,0,517100.0,0.193
C100304,663.0,5,7,0,889100.0,0.293
C100305,730.0,6,2,0,585800.0,0.292
C100306,720.0,7,1,1,873600.0,0.513
C100307,,5,1,0,1420000.0,0.345
C100308,,5,2,1,476800.0,0.454
C100309,735.0,7,6,0,815400.0,0.63
C100310,721.0,4,2,0,985400.0,0.365
C100311,753.0,2,5,0,498900.0,0.335
C100312,784.0,5,3,0,436700.0,0.071
C100313,716.0,2,1,2,385400.0,0.085
C100314,,2,3,1,928700.0,0.455
C100315,758.0,5,5,1,694400.0,0.295
C100316,634.0,4,2,1,106600.0,0.248
C100317,720.0,4,6,0,573000.0,0.236
C100318,,6,2,1,465100.0,0.215
C100319,645.0,5,7,0,1170500.0,0.253
C100320,624.0,5,7,0,397300.0,0.173
C100321,620.0,11,3,2,553700.0,0.221
C100322,755.0,6,3,1,1292400.0,0.359
C100323,758.0,4,3,0,381800.0,0.246
C100324,716.0,4,1,2,1225300.0,0.19
C100325,767.0,4,2,0,400300.0,0.184
C100326,712.0,8,1,0,735600.0,0.24
C100327,683.0,5,4,0,195300.0,0.121
C100328,652.0,8,2,0,631600.0,0.249
C100329,752.0,4,1,1,208000.0,0.232
C100330,755.0,4,1,0,1561400.0,0.357
C100331,779.0,6,3,1,542900.0,0.127
C100332,667.0,4,3,0,2150400.0,0.136
C100333,695.0,5,2,0,386900.0,0.439
C100334,637.0,5,4,0,782100.0,0.395
C100335,773.0,2,3,0,160600.0,0.428
C100336,749.0,6,4,0,326000.0,0.233
C100337,739.0,5,4,0,630700.0,0.334
C100338,710.0,3,4,0,1437900.0,0.15
C100339,,4,1,1,1112800.0,0.42
C100340,691.0,2,2,0,540800.0,0.181
C100341,770.0,6,2,0,411300.0,0.422
C100342,677.0,7,2,1,496700.0,0.195
C100343,759.0,5,5,0,445000.0,0.761
C100344,727.0,5,1,0,351900.0,0.248
C100345,656.0,5,3,0,572600.0,0.192
C100346,632.0,7,6,0,558900.0,0.114
C100347,669.0,5,3,1,239300.0,0.354
C100348,709.0,5,5,0,1581400.0,0.153
C100349,641.0,9,4,0,825900.0,0.202
C100350,745.0,7,3,1,924700.0,0.201
C100351,773.0,5,3,0,1193200.0,0.326
C100352,741.0,2,1,1,1150900.0,0.464
C100353,619.0,3,3,0,407500.0,0.272
C100354,583.0,6,4,0,420800.0,0.066
C100355,758.0,3,2,0,271700.0,0.214
C100356,792.0,3,3,1,353100.0,0.079
C100357,689.0,4,4,1,487700.0,0.202
C100358,739.0,4,4,0,263500.0,0.301
C100359,696.0,4,2,0,603400.0,0.377
C100360,676.0,4,3,0,366300.0,0.23
C100361,765.0,5,2,1,366100.0,0.214
C100362,681.0,2,3,0,1141900.0,0.234
C100363,757.0,2,4,0,4195200.0,0.322
C100364,805.0,3,1,0,806300.0,0.535
C100365,704.0,7,2,0,415800.0,0.276
C100366,813.0,7,5,0,239200.0,0.264
C100367,640.0,4,1,0,282300.0,0.324
C100368,761.0,5,4,0,737600.0,0.228
C100369,712.0,7,6,0,369800.0,0.28
C100370,850.0,5,4,0,627300.0,0.218
C100371,713.0,3,4,0,372600.0,0.466
C100372,668.0,6,1,1,1452000.0,0.261
C100373,800.0,2,1,0,208700.0,0.166
C100374,628.0,2,4,1,2038600.0,0.505
C100375,735.0,3,3,0,784300.0,0.328
C100376,669.0,3,3,0,527000.0,0.114
C100377,786.0,3,3,0,919400.0,0.116
C100378,705.0,2,3,0,806200.0,0.37
C100379,758.0,5,2,0,366200.0,0.823
C100380,709.0,4,2,0,743500.0,0.085
C100381,651.0,4,3,0,966200.0,0.122
C100382,593.0,5,2,0,1563300.0,0.527
C100383,809.0,5,4,0,738400.0,0.355
C100384,724.0,5,2,0,1027900.0,0.576
C100385,648.0,5,2,0,739500.0,0.304
C100386,694.0,2,3,0,854700.0,0.663
C100387,765.0,9,2,0,445400.0,0.424
C100388,629.0,7,3,1,694500.0,0.544
C100389,835.0,3,4,1,370400.0,0.446
C100390,697.0,5,2,0,589600.0,0.388
C100391,,6,3,1,1151600.0,0.224
C100392,781.0,6,2,0,935800.0,0.542
C100393,722.0,6,3,0,704800.0,0.281
C100394,656.0,4,3,0,679300.0,0.286
C100395,761.0,3,4,0,469700.0,0.485
C100396,735.0,6,5,1,638700.0,0.351
C100397,772.0,2,1,0,1391900.0,0.129
C100398,660.0,5,4,0,425700.0,0.32
C100399,649.0,8,3,2,1297000.0,0.443
C100400,745.0,7,2,0,608500.0,0.331
C100401,687.0,8,7,1,836000.0,0.298
C100402,593.0,4,5,0,730700.0,0.122
C100403,678.0,6,2,0,325100.0,0.134
C100404,745.0,2,1,1,381500.0,0.368
C100405,671.0,6,2,0,1361100.0,0.348
C100406,781.0,6,2,0,563800.0,0.321
C100407,683.0,6,5,1,439100.0,0.389
C100408,705.0,5,1,0,474400.0,0.51
C100409,621.0,5,1,2,2001600.0,0.176
C100410,666.0,5,3,1,960700.0,0.238
C100411,700.0,3,5,0,326400.0,0.083
C100412,742.0,2,2,1,1082800.0,0.162
C100413,720.0,3,6,0,451200.0,0.075
C100414,768.0,6,3,0,719200.0,0.503
C100415,591.0,1,3,0,1056200.0,0.391
C100416,,2,4,1,631300.0,0.289
C100417,702.0,5,3,0,72200.0,0.05
C100418,653.0,8,3,0,384000.0,0.039
C100419,708.0,6,3,1,677800.0,0.388
C100420,669.0,3,4,0,1537400.0,0.741
C100421,734.0,8,2,0,622500.0,0.453
C100422,691.0,7,2,0,263000.0,0.297
C100423,738.0,5,2,1,469000.0,0.235
C100424,,2,2,1,223200.0,0.089
C100425,,8,4,0,508500.0,0.665
C100426,732.0,2,2,0,1446300.0,0.373
C100427,808.0,7,2,0,558700.0,0.212
C100428,703.0,7,5,0,591600.0,0.431
C100429,682.0,3,4,1,245000.0,0.26
C100430,717.0,3,1,1,924600.0,0.122
C100431,684.0,4,5,1,314700.0,0.352
C100432,653.0,5,3,0,550100.0,0.037
C100433,711.0,3,2,1,548500.0,0.242
C100434,706.0,7,3,0,2147900.0,0.543
C100435,674.0,4,6,0,1100100.0,0.53
C100436,689.0,4,1,0,880000.0,0.253
C100437,656.0,4,1,0,445200.0,0.393
C100438,718.0,7,2,0,621900.0,0.108
C100439,636.0,4,4,1,156100.0,0.262
C100440,803.0,6,1,1,595900.0,0.145
C100441,712.0,1,3,1,2090900.0,0.23
C100442,762.0,3,4,1,742000.0,0.428
C100443,644.0,6,3,0,179400.0,0.801
C100444,729.0,8,2,1,544500.0,0.453
C100445,703.0,3,1,0,702200.0,0.03
C100446,764.0,7,4,0,275400.0,0.084
C100447,758.0,4,1,0,527500.0,0.214
C100448,620.0,6,2,0,296400.0,0.431
C100449,773.0,5,5,0,823200.0,0.295
C100450,628.0,5,6,0,866000.0,0.102
C100451,784.0,3,5,1,703400.0,0.272
C100452,707.0,5,4,0,1768100.0,0.433
C100453,644.0,7,3,0,330900.0,0.203
C100454,749.0,3,3,0,451300.0,0.286
C100455,712.0,3,2,2,478700.0,0.548
C100456,655.0,7,1,0,312400.0,0.176
C100457,669.0,3,4,1,455200.0,0.231
C100458,736.0,4,3,0,729000.0,0.245
C100459,634.0,2,3,0,373300.0,0.43
C100460,662.0,6,4,1,609300.0,0.244
C100461,812.0,6,1,0,488800.0,0.548
C100462,668.0,6,5,0,466300.0,0.66
C100463,730.0,7,3,0,183600.0,0.199
C100464,735.0,5,6,0,429700.0,0.495
C100465,763.0,6,2,0,443900.0,0.195
C100466,759.0,4,2,1,907200.0,0.229
C100467,571.0,5,5,0,1023600.0,0.115
C100468,683.0,7,3,0,1191400.0,0.167
C100469,775.0,3,5,0,1103800.0,0.205
C100470,666.0,6,3,1,111600.0,0.307
C100471,811.0,5,3,0,472800.0,0.391
C100472,724.0,10,1,0,149500.0,0.288
C100473,643.0,6,4,0,267700.0,0.241
C100474,741.0,7,2,0,327100.0,0.146
C100475,818.0,6,4,2,331400.0,0.301
C100476,673.0,4,4,0,1077100.0,0.274
C100477,741.0,6,3,0,529400.0,0.637
C100478,661.0,2,4,0,2223100.0,0.174
C100479,678.0,5,4,0,837300.0,0.529
C100480,716.0,4,4,0,690500.0,0.38
C100481,739.0,4,3,0,213900.0,0.248
C100482,730.0,5,3,0,1021800.0,0.316
C100483,722.0,4,1,0,381200.0,0.255
C100484,843.0,6,2,1,468000.0,0.046
C100485,650.0,7,3,0,335300.0,0.04
C100486,607.0,2,3,0,581500.0,0.106
C100487,741.0,3,4,0,700600.0,0.227
C100488,721.0,9,3,0,1353100.0,0.247
C100489,631.0,5,2,0,304800.0,0.149
C100490,806.0,7,2,0,486300.0,0.43
C100491,671.0,5,5,1,427700.0,0.293
C100492,632.0,5,2,0,309600.0,0.083
C100493,734.0,6,3,1,511200.0,0.613
C100494,746.0,3,4,1,593800.0,0.214
C100495,841.0,4,2,0,1417600.0,0.484
C100496,625.0,5,5,0,243300.0,0.435
C100497,640.0,8,2,1,431500.0,0.533
C100498,695.0,3,3,0,320000.0,0.239
C100499,686.0,7,1,0,143400.0,0.172
C100500,706.0,4,3,0,886200.0,0.545
C100501,671.0,4,3,0,1063500.0,0.353
C100502,624.0,6,4,0,448800.0,0.296
C100503,686.0,9,2,0,1958700.0,0.302
C100504,750.0,4,3,1,122000.0,0.143
C100505,754.0,7,2,0,611000.0,0.319
C100506,674.0,3,1,0,277500.0,0.38
C100507,740.0,2,5,0,1245100.0,0.195
C100508,733.0,8,3,0,368600.0,0.358
C100509,683.0,2,2,1,128700.0,0.34
C100510,691.0,3,4,1,984100.0,0.289
C100511,713.0,8,5,1,539900.0,0.224
C100512,850.0,5,2,0,1417700.0,0.512
C100513,720.0,8,2,0,1279400.0,0.261
C100514,661.0,6,2,1,190100.0,0.133
C100515,702.0,1,2,0,579800.0,0.544
C100516,679.0,3,2,0,1109800.0,0.177
C100517,774.0,7,6,0,566400.0,0.47
C100518,590.0,5,2,0,737900.0,0.214
C100519,650.0,3,4,0,320100.0,0.564
C100520,757.0,6,1,0,389900.0,0.77
C100521,734.0,7,2,1,272200.0,0.105
C100522,712.0,9,4,0,431600.0,0.091
C100523,750.0,4,3,0,1066000.0,0.495
C100524,637.0,4,7,0,1013300.0,0.54
C100525,731.0,3,3,0,1655400.0,0.253
C100526,647.0,4,2,0,334400.0,0.153
C100527,639.0,3,4,0,398800.0,0.367
C100528,738.0,3,2,0,438200.0,0.307
C100529,666.0,5,6,0,185700.0,0.297
C100530,691.0,2,3,0,953100.0,0.269
C100531,,4,2,2,393000.0,0.303
C100532,,1,2,1,447500.0,0.42
C100533,744.0,2,4,0,430300.0,0.321
C100534,835.0,6,5,0,1292700.0,0.354
C100535,700.0,4,4,0,449000.0,0.301
C100536,764.0,7,3,0,1083100.0,0.377
C100537,754.0,4,4,0,347400.0,0.701
C100538,640.0,7,2,0,242500.0,0.189
C100539,635.0,4,1,0,981600.0,0.521
C100540,711.0,6,4,1,667800.0,0.522
C100541,592.0,4,2,0,485500.0,0.324
C100542,713.0,6,3,0,752200.0,0.544
C100543,725.0,3,5,1,163500.0,0.525
C100544,737.0,5,2,0,1938700.0,0.158
C100545,736.0,3,4,0,340800.0,0.241
C100546,785.0,8,1,0,471000.0,0.372
C100547,692.0,3,5,0,234500.0,0.117
C100548,786.0,7,3,0,339400.0,0.223
C100549,740.0,4,1,1,415500.0,0.114
C100550,740.0,4,2,1,999400.0,0.055
C100551,702.0,9,4,0,1351400.0,0.275
C100552,764.0,6,2,0,1034600.0,0.409
C100553,669.0,6,3,0,500800.0,0.725
C100554,,4,1,0,1492500.0,0.371
C100555,773.0,8,2,0,1032400.0,0.126
C100556,674.0,6,1,0,683000.0,0.326
C100557,658.0,2,3,2,525000.0,0.093
C100558,669.0,5,1,0,1108200.0,0.412
C100559,709.0,4,4,0,436700.0,0.279
C100560,731.0,5,1,0,485600.0,0.167
C100561,760.0,4,2,0,393600.0,0.423
C100562,817.0,5,4,0,719700.0,0.08
C100563,802.0,5,6,0,1014000.0,0.409
C100564,727.0,7,4,0,595800.0,0.161
C100565,690.0,7,3,0,1101000.0,0.062
C100566,644.0,6,3,1,1242700.0,0.626
C100567,757.0,6,5,0,677500.0,0.181
C100568,740.0,5,4,0,250500.0,0.148
C100569,696.0,2,2,0,377200.0,0.1
C100570,702.0,4,6,0,456100.0,0.192
C100571,705.0,6,7,0,884600.0,0.228
C100572,568.0,5,4,1,720100.0,0.535
C100573,708.0,6,2,1,482200.0,0.454
C100574,729.0,5,6,0,922500.0,0.364
C100575,704.0,5,3,0,312200.0,0.571
C100576,652.0,10,3,1,618600.0,0.561
C100577,714.0,4,2,0,187800.0,0.472
C100578,738.0,4,6,0,764400.0,0.287
C100579,812.0,5,2,1,325600.0,0.485
C100580,770.0,2,3,0,1152900.0,0.471
C100581,744.0,5,3,1,309900.0,0.376
C100582,708.0,6,5,0,138000.0,0.509
C100583,637.0,2,3,0,646600.0,0.146
C100584,685.0,4,2,0,1233100.0,0.507
C100585,635.0,9,1,0,364400.0,0.527
C100586,706.0,6,2,1,120700.0,0.226
C100587,771.0,5,4,1,743300.0,0.428
C100588,,7,2,0,761700.0,0.247
C100589,762.0,7,5,0,315800.0,0.207
C100590,712.0,2,1,0,428500.0,0.054
C100591,767.0,5,4,0,787700.0,0.513
C100592,696.0,4,3,0,197300.0,0.694
C100593,,4,3,2,821000.0,0.5
C100594,719.0,5,5,3,1271600.0,0.266
C100595,713.0,4,5,0,629000.0,0.392
C100596,614.0,8,5,0,836400.0,0.175
C100597,682.0,2,6,0,1827200.0,0.085
C100598,575.0,2,3,1,880400.0,0.248
C100599,685.0,7,3,0,859700.0,0.351
C100600,779.0,6,2,1,1907000.0,0.088
C100601,675.0,4,3,0,481600.0,0.175
