customer_id,age,gender,city,state,employment_type,monthly_income,customer_segment
C100179,32.0,Male,Chennai,Tamil Nadu,Salaried,84100.0,Mass Affluent
C100180,33.0,Male,Kolkata,West Bengal,Business Owner,100200.0,Affluent
C100181,21.0,Male,Mysuru,Karnataka,Salaried,39100.0,Mass Affluent
C100182,45.0,Male,Mysuru,Karnataka,Contract,42900.0,SME
C100183,38.0,Female,Surat,Gujarat,Salaried,53800.0,Mass
C100184,37.0,Male,Chennai,Tamil Nadu,Business Owner,161000.0,Mass
C100185,39.0,Female,Surat,Gujarat,Salaried,32100.0,Mass Affluent
C100186,41.0,Female,Chennai,Tamil Nadu,Contract,42600.0,Mass
C100187,61.0,Female,Dwarka,Delhi,Self-employed,63100.0,Affluent
C100188,40.0,Male,Mumbai,Maharashtra,Self-employed,157200.0,Affluent
C100189,46.0,Male,Hyderabad,Telangana,Salaried,,Affluent
C100190,33.0,Male,Siliguri,West Bengal,Business Owner,179300.0,Affluent
C100191,42.0,Female,Warangal,Telangana,Salaried,,Mass Affluent
C100192,35.0,Female,Kolkata,West Bengal,Business Owner,129900.0,Mass
C100193,37.0,Female,Ahmedabad,Gujarat,Contract,43700.0,Mass
C100194,29.0,Male,Dwarka,Delhi,Salaried,74500.0,Mass
C100195,30.0,Female,Siliguri,West Bengal,Salaried,45800.0,Mass
C100196,43.0,Male,Dwarka,Delhi,Business Owner,46200.0,Mass Affluent
C100197,46.0,Male,Mysuru,Karnataka,Retired,20200.0,Mass Affluent
C100198,43.0,Female,Dwarka,Delhi,Contract,83700.0,Mass Affluent
C100199,31.0,Male,Warangal,Telangana,Salaried,69000.0,Mass
C100200,41.0,Male,Bengaluru,Karnataka,Contract,31400.0,SME
C100201,21.0,Male,Bengaluru,Karnataka,Salaried,94000.0,Mass Affluent
C100202,48.0,Female,Hyderabad,Telangana,Salaried,44800.0,Mass
C100203,38.0,Male,New Delhi,Delhi,Self-employed,55300.0,SME
C100204,41.0,Male,New Delhi,Delhi,Self-employed,44600.0,Mass Affluent
C100205,50.0,Female,Ahmedabad,Gujarat,Business Owner,188100.0,Mass Affluent
C100206,34.0,Male,Hyderabad,Telangana,Salaried,151300.0,Mass Affluent
C100207,48.0,Male,Kolkata,West Bengal,Salaried,40500.0,Mass
C100208,34.0,Female,Mysuru,Karnataka,Retired,46000.0,Mass Affluent
C100209,44.0,Female,Surat,Gujarat,Salaried,97100.0,Affluent
C100210,34.0,Female,New Delhi,Delhi,Salaried,161900.0,Mass Affluent
C100211,41.0,Male,Pune,Maharashtra,Self-employed,26100.0,Mass
C100212,53.0,Male,Pune,Maharashtra,Retired,43000.0,Mass Affluent
C100213,32.0,Female,Coimbatore,Tamil Nadu,Salaried,83500.0,Affluent
C100214,32.0,Female,Warangal,Telangana,Business Owner,56700.0,Affluent
C100215,35.0,Female,Mysuru,Karnataka,Salaried,75000.0,Mass
C100216,41.0,Male,New Delhi,Delhi,Salaried,68200.0,Mass Affluent
C100217,66.0,Female,Siliguri,West Bengal,Salaried,86300.0,Mass
C100218,32.0,Male,Mumbai,Maharashtra,Salaried,48000.0,Mass
C100219,21.0,Female,Bengaluru,Karnataka,Self-employed,92600.0,Mass
C100220,32.0,Female,Siliguri,West Bengal,Salaried,47500.0,Mass
C100221,22.0,Female,Mysuru,Karnataka,Self-employed,100700.0,Mass
C100222,33.0,Male,Kolkata,West Bengal,Self-employed,82300.0,Affluent
C100223,38.0,Male,Chennai,Tamil Nadu,Contract,38800.0,Mass
C100224,29.0,Male,Surat,Gujarat,Self-employed,40500.0,Mass
C100225,31.0,Female,Mumbai,Maharashtra,Salaried,130700.0,Mass
C100226,21.0,Female,Hyderabad,Telangana,Retired,66300.0,Mass Affluent
C100227,40.0,Female,Siliguri,West Bengal,Salaried,92500.0,Mass
C100228,31.0,Female,Chennai,Tamil Nadu,Salaried,46200.0,Mass Affluent
C100229,49.0,Male,Warangal,Telangana,Contract,39300.0,Mass
C100230,49.0,Male,Bengaluru,Karnataka,Salaried,132000.0,Mass Affluent
C100231,30.0,Female,Mysuru,Karnataka,Salaried,87100.0,Mass
C100232,35.0,Female,Pune,Maharashtra,Salaried,42400.0,Mass
C100233,39.0,Female,Dwarka,Delhi,Salaried,63600.0,Mass
C100234,46.0,Male,Dwarka,Delhi,Salaried,66400.0,Mass
C100235,22.0,Male,Mumbai,Maharashtra,Contract,42100.0,Affluent
C100236,38.0,Female,Mysuru,Karnataka,Salaried,40800.0,Mass
C100237,57.0,Male,Warangal,Telangana,Salaried,109600.0,Affluent
C100238,37.0,Female,Coimbatore,Tamil Nadu,Salaried,81300.0,Mass
C100239,41.0,Male,Mysuru,Karnataka,Contract,42100.0,Mass Affluent
C100240,38.0,Male,Pune,Maharashtra,Salaried,30700.0,Affluent
C100241,26.0,Male,Pune,Maharashtra,Salaried,48000.0,Mass
C100242,48.0,Male,Warangal,Telangana,Business Owner,110200.0,Mass
C100243,41.0,Male,Pune,Maharashtra,Contract,68200.0,Mass
C100244,40.0,Female,Ahmedabad,Gujarat,Self-employed,65100.0,Mass Affluent
C100245,46.0,Male,Dwarka,Delhi,Business Owner,182100.0,Affluent
C100246,46.0,Female,Mysuru,Karnataka,Salaried,66600.0,Mass Affluent
C100247,21.0,Female,Warangal,Telangana,Salaried,44800.0,Mass
C100248,43.0,Female,Bengaluru,Karnataka,Self-employed,21900.0,SME
C100249,33.0,Male,Chennai,Tamil Nadu,Salaried,36900.0,Mass Affluent
C100250,40.0,Female,New Delhi,Delhi,Salaried,32000.0,Affluent
C100251,31.0,Male,Warangal,Telangana,Salaried,58500.0,Affluent
C100252,30.0,Male,Mumbai,Maharashtra,Salaried,72800.0,Affluent
C100253,48.0,Male,Chennai,Tamil Nadu,Contract,86600.0,Affluent
C100254,38.0,Female,Mumbai,Maharashtra,Business Owner,110300.0,Mass
C100255,36.0,Male,Pune,Maharashtra,Salaried,37300.0,Affluent
C100256,36.0,Male,Bengaluru,Karnataka,Salaried,180900.0,Mass Affluent
C100257,39.0,Male,Chennai,Tamil Nadu,Business Owner,127800.0,Mass
C100258,38.0,Female,Kolkata,West Bengal,Contract,41200.0,Affluent
C100259,21.0,Male,Coimbatore,Tamil Nadu,Self-employed,68700.0,Mass
C100260,30.0,Male,Mumbai,Maharashtra,Business Owner,60500.0,Mass Affluent
C100261,36.0,Female,Siliguri,West Bengal,Salaried,83700.0,Affluent
C100262,46.0,Female,Dwarka,Delhi,Business Owner,131600.0,Mass Affluent
C100263,52.0,Female,Pune,Maharashtra,Business Owner,227500.0,Mass
C100264,29.0,Female,Mumbai,Maharashtra,Salaried,103300.0,Mass
C100265,58.0,Female,Pune,Maharashtra,Salaried,93000.0,Mass
C100266,40.0,Female,Siliguri,West Bengal,Salaried,110900.0,Mass
C100267,44.0,Female,Dwarka,Delhi,Self-employed,68200.0,SME
C100268,33.0,Male,Hyderabad,Telangana,Self-employed,63500.0,Mass Affluent
C100269,33.0,Male,Kolkata,West Bengal,Salaried,61700.0,Mass
C100270,53.0,Female,Chennai,Tamil Nadu,Self-employed,44300.0,Affluent
C100271,37.0,Female,Kolkata,West Bengal,Contract,43700.0,Mass Affluent
C100272,38.0,Female,Coimbatore,Tamil Nadu,Salaried,54400.0,Mass
C100273,50.0,Male,Warangal,Telangana,Salaried,85300.0,Mass Affluent
C100274,56.0,Female,Ahmedabad,Gujarat,Salaried,62800.0,Mass
C100275,24.0,Female,Pune,Maharashtra,Salaried,26800.0,Mass Affluent
C100276,37.0,Male,Ahmedabad,Gujarat,Salaried,64100.0,Mass Affluent
C100277,39.0,Male,Surat,Gujarat,Contract,88400.0,Mass
C100278,57.0,Male,Siliguri,West Bengal,Salaried,27700.0,Mass Affluent
C100279,64.0,Female,Hyderabad,Telangana,Salaried,45000.0,Mass
C100280,38.0,Male,Dwarka,Delhi,Contract,47100.0,Mass
C100281,43.0,Male,Bengaluru,Karnataka,Salaried,34900.0,Affluent
C100282,48.0,Female,Ahmedabad,Gujarat,Salaried,49500.0,Mass
C100283,50.0,Male,New Delhi,Delhi,Salaried,65000.0,Affluent
C100284,36.0,Male,Surat,Gujarat,Salaried,35000.0,Mass Affluent
C100285,47.0,Male,Mumbai,Maharashtra,Salaried,72400.0,Mass Affluent
C100286,32.0,Female,Coimbatore,Tamil Nadu,Self-employed,93900.0,Mass Affluent
C100287,21.0,Male,Ahmedabad,Gujarat,Self-employed,44200.0,Mass
C100288,25.0,Male,Hyderabad,Telangana,Self-employed,79200.0,Mass
C100289,41.0,Female,Surat,Gujarat,Self-employed,127200.0,SME
C100290,47.0,Female,Hyderabad,Telangana,Self-employed,72300.0,Mass Affluent
C100291,21.0,Male,Ahmedabad,Gujarat,Salaried,,Mass
C100292,21.0,Female,Surat,Gujarat,Self-employed,104600.0,Mass Affluent
C100293,39.0,Female,Surat,Gujarat,Self-employed,70500.0,SME
C100294,21.0,Male,Warangal,Telangana,Salaried,99100.0,Affluent
C100295,45.0,Male,Bengaluru,Karnataka,Salaried,75800.0,Mass Affluent
C100296,49.0,Male,Pune,Maharashtra,Salaried,40800.0,Mass Affluent
C100297,21.0,Female,Ahmedabad,Gujarat,Contract,59600.0,Mass Affluent
C100298,47.0,Male,Coimbatore,Tamil Nadu,Salaried,94200.0,Mass
C100299,37.0,Female,Bengaluru,Karnataka,Salaried,91700.0,Mass Affluent
C100300,53.0,Male,Mumbai,Maharashtra,Business Owner,84600.0,Affluent
C100301,42.0,Male,Pune,Maharashtra,Business Owner,139000.0,Mass
C100302,37.0,Female,Mumbai,Maharashtra,Contract,87600.0,Mass
C100303,40.0,Female,Chennai,Tamil Nadu,Self-employed,87300.0,Mass Affluent
C100304,49.0,Female,Coimbatore,Tamil Nadu,Salaried,109000.0,Affluent
C100305,41.0,Male,New Delhi,Delhi,Salaried,115000.0,Affluent
C100306,40.0,Female,Warangal,Telangana,Self-employed,77600.0,SME
C100307,25.0,Male,Coimbatore,Tamil Nadu,Self-employed,106200.0,SME
C100308,44.0,Female,New Delhi,Delhi,Contract,41500.0,Mass
C100309,40.0,Male,Hyderabad,Telangana,Salaried,103700.0,Mass Affluent
C100310,58.0,Female,Hyderabad,Telangana,Business Owner,109000.0,Mass Affluent
C100311,39.0,Female,Warangal,Telangana,Salaried,50100.0,Mass Affluent
C100312,38.0,Male,Mumbai,Maharashtra,Salaried,63500.0,Mass
C100313,33.0,Female,Bengaluru,Karnataka,Contract,45900.0,Mass
C100314,47.0,Male,Ahmedabad,Gujarat,Salaried,76300.0,Mass
C100315,37.0,Female,Warangal,Telangana,Self-employed,97500.0,Mass Affluent
C100316,32.0,Female,Chennai,Tamil Nadu,Contract,,Mass
C100317,55.0,Female,Chennai,Tamil Nadu,Self-employed,59000.0,Mass
C100318,57.0,Female,Siliguri,West Bengal,Self-employed,93100.0,Mass
C100319,35.0,Male,Ahmedabad,Gujarat,Business Owner,141300.0,Mass Affluent
C100320,29.0,Female,Chennai,Tamil Nadu,Retired,43200.0,Mass
C100321,51.0,Male,Coimbatore,Tamil Nadu,Contract,155500.0,Mass
C100322,31.0,Male,Mumbai,Maharashtra,Salaried,106600.0,Affluent
C100323,68.0,Male,Surat,Gujarat,Salaried,62300.0,Mass
C100324,38.0,Male,Warangal,Telangana,Salaried,89500.0,Mass
C100325,49.0,Male,Coimbatore,Tamil Nadu,Salaried,117900.0,Mass
C100326,26.0,Male,Warangal,Telangana,Business Owner,134700.0,Mass Affluent
C100327,39.0,Male,Dwarka,Delhi,Contract,21800.0,Mass
C100328,50.0,Male,New Delhi,Delhi,Salaried,67600.0,Mass Affluent
C100329,44.0,Male,Warangal,Telangana,Salaried,66200.0,Mass
C100330,34.0,Male,Surat,Gujarat,Salaried,169100.0,Mass Affluent
C100331,64.0,Female,Dwarka,Delhi,Business Owner,50100.0,Mass
C100332,47.0,Female,Coimbatore,Tamil Nadu,Business Owner,230100.0,Mass
C100333,37.0,Male,Mysuru,Karnataka,Salaried,60500.0,SME
C100334,33.0,Female,Chennai,Tamil Nadu,Self-employed,121500.0,Affluent
C100335,37.0,Female,Kolkata,West Bengal,Contract,42100.0,Mass
C100336,53.0,Female,Mysuru,Karnataka,Contract,51900.0,Mass
C100337,32.0,Female,Pune,Maharashtra,Salaried,108200.0,Mass Affluent
C100338,40.0,Male,Warangal,Telangana,Business Owner,,Mass Affluent
C100339,31.0,Male,Chennai,Tamil Nadu,Business Owner,185100.0,Mass Affluent
C100340,52.0,Male,Pune,Maharashtra,Contract,46400.0,SME
C100341,38.0,Female,New Delhi,Delhi,Salaried,54200.0,Mass
C100342,48.0,Female,Ahmedabad,Gujarat,Salaried,59100.0,SME
C100343,45.0,Male,Pune,Maharashtra,Salaried,52000.0,Mass Affluent
C100344,34.0,Female,Dwarka,Delhi,Salaried,61800.0,SME
C100345,47.0,Male,Bengaluru,Karnataka,Salaried,120500.0,SME
C100346,49.0,Female,Hyderabad,Telangana,Business Owner,68200.0,Mass
C100347,28.0,Female,Ahmedabad,Gujarat,Self-employed,38100.0,Mass Affluent
C100348,47.0,Female,Ahmedabad,Gujarat,Business Owner,114600.0,Affluent
C100349,68.0,Female,Ahmedabad,Gujarat,Self-employed,171700.0,Affluent
C100350,37.0,Male,Chennai,Tamil Nadu,Salaried,104700.0,Mass
C100351,46.0,Male,Warangal,Telangana,Salaried,118600.0,Mass Affluent
C100352,26.0,Female,Warangal,Telangana,Salaried,114900.0,Mass
C100353,44.0,Female,Siliguri,West Bengal,Contract,34800.0,Affluent
C100354,34.0,Female,Warangal,Telangana,Self-employed,85000.0,Mass
C100355,47.0,Male,Surat,Gujarat,Business Owner,35000.0,Mass
C100356,39.0,Female,Pune,Maharashtra,Self-employed,61300.0,Mass
C100357,28.0,Male,Coimbatore,Tamil Nadu,Business Owner,152400.0,Mass Affluent
C100358,51.0,Male,Chennai,Tamil Nadu,Retired,21000.0,Mass
C100359,37.0,Female,Warangal,Telangana,Business Owner,45900.0,Mass Affluent
C100360,29.0,Male,Kolkata,West Bengal,Contract,27000.0,Affluent
