loan_id,customer_id,loan_type,loan_amount,tenure_months,interest_rate,loan_status,disbursement_date
L200179,C100048,Education,154749.96,48,8.37,Delinquent,2026-02-24
L200180,C100000,Business,525108.47,120,15.77,Active,2026-04-14
L200181,C100211,Auto,141357.25,24,14.45,Closed,2025-08-08
L200182,C100120,Business,325099.24,60,10.45,Closed,2026-05-18
L200183,C100758,Home,563915.54,48,10.69,Closed,2025-10-10
L200184,C100628,Personal,59854.37,48,16.07,Delinquent,2025-12-02
L200185,C100702,Education,317384.07,12,10.74,Delinquent,2026-01-17
L200186,C100762,Personal,39857.3,36,15.32,Active,2026-03-20
L200187,C100675,Home,646574.56,180,16.83,Active,2025-08-20
L200188,C100204,Personal,65567.09,180,13.62,Active,2026-03-27
L200189,C100564,Consumer Durable,260864.44,60,16.78,Delinquent,2026-02-10
L200190,C100373,Business,461561.84,24,15.82,Active,2026-05-25
L200191,C100373,Consumer Durable,67084.15,120,11.84,Active,2026-05-07
L200192,C100096,Consumer Durable,94845.78,12,12.67,Active,2025-08-24
L200193,C100679,Business,703119.0,48,14.28,Active,2026-06-22
L200194,C100762,Personal,76757.54,36,17.51,Closed,2026-04-30
L200195,C100433,Business,606902.78,180,7.41,Written Off,2025-09-19
L200196,C100399,Education,371780.47,180,9.79,Closed,2026-01-04
L200197,C100375,Auto,328859.31,180,10.3,Closed,2026-04-22
L200198,C100273,Business,743519.51,36,11.26,Active,2026-05-06
L200199,C100069,Auto,417176.11,120,17.37,Active,2026-03-06
L200200,C100791,Home,2093752.51,180,16.64,Default,2025-09-22
L200201,C100379,Auto,167228.43,12,12.44,Active,2026-05-16
L200202,C100706,Personal,147468.7,120,8.17,Active,2025-10-29
L200203,C100278,Home,204152.92,24,11.92,Active,2025-11-25
L200204,C100440,Auto,616596.11,180,15.2,Active,2025-08-12
L200205,C100254,Home,828724.79,60,13.42,Active,2026-02-03
L200206,C100402,Education,172687.49,180,20.86,Active,2025-11-20
L200207,C100507,Personal,279850.06,120,11.5,Active,2025-09-15
L200208,C100245,Education,614626.82,180,12.32,Active,2025-12-23
L200209,C100709,Personal,52394.73,180,14.92,Active,2025-09-07
L200210,C100069,Personal,118301.08,36,15.51,Active,2025-10-15
L200211,C100479,Consumer Durable,131613.89,24,14.33,Active,2025-11-22
L200212,C100615,Consumer Durable,37807.63,180,7.82,Active,2025-12-29
L200213,C100268,Home,355695.09,180,10.53,Active,2026-01-06
L200214,C100317,Personal,104765.23,120,14.77,Active,2025-07-06
L200215,C100455,Business,443670.51,180,11.9,Active,2026-02-09
L200216,C100531,Business,273796.47,24,21.68,Active,2026-06-27
L200217,C100047,Home,2179672.95,48,16.45,Active,2025-09-29
L200218,C100560,Home,559998.99,60,13.03,Closed,2026-02-27
L200219,C100108,Business,650375.39,12,13.86,Default,2025-11-15
L200220,C100722,Consumer Durable,88157.58,48,13.23,Closed,2026-04-07
L200221,C100440,Business,841133.18,180,10.45,Active,2025-10-24
L200222,C100312,Personal,116978.24,36,11.46,Active,2025-12-15
L200223,C100263,Personal,298462.24,12,7.33,Active,2025-10-12
L200224,C100257,Home,1758075.98,48,12.2,Closed,2026-04-18
L200225,C100096,Consumer Durable,96873.54,48,7.0,Closed,2026-06-22
L200226,C100034,Personal,95589.01,12,8.17,Active,2025-08-31
L200227,C100184,Auto,1701251.3,36,13.55,Closed,2025-11-10
L200228,C100672,Consumer Durable,214277.44,12,13.27,Active,2026-02-28
L200229,C100783,Auto,292740.94,180,9.37,Active,2025-11-22
L200230,C100160,Consumer Durable,167963.79,180,18.03,Closed,2026-04-29
L200231,C100000,Personal,128488.73,12,16.26,Active,2026-01-12
L200232,C100674,Home,1039667.96,120,14.55,Closed,2025-07-04
L200233,C100063,Personal,64201.21,12,19.5,Active,2026-02-13
L200234,C100728,Personal,171474.0,12,11.8,Active,2026-03-08
L200235,C100684,Business,95115.39,120,9.59,Delinquent,2026-02-20
L200236,C100127,Personal,35721.73,120,11.9,Active,2025-10-15
L200237,C100591,Auto,745421.18,180,15.37,Active,2025-11-30
L200238,C100593,Education,150563.97,24,17.3,Active,2026-01-10
L200239,C100333,Home,357954.78,12,17.31,Closed,2026-01-22
L200240,C100021,Personal,137966.11,120,7.0,Active,2026-06-19
L200241,C100010,Personal,65844.86,48,10.31,Closed,2026-06-30
L200242,C100700,Auto,315706.5,180,15.4,Closed,2025-07-02
L200243,C100279,Business,230497.4,180,7.0,Active,2026-01-07
L200244,C100165,Auto,188120.6,48,14.16,Delinquent,2026-02-16
L200245,C100466,Home,1482212.88,48,14.24,Active,2026-02-07
L200246,C100223,Home,729033.63,48,16.06,Delinquent,2026-04-17
L200247,C100090,Business,589474.92,36,13.54,Closed,2026-03-21
L200248,C100554,Consumer Durable,88268.49,36,13.51,Active,2025-11-23
L200249,C100023,Business,1890755.14,180,10.93,Delinquent,2026-05-03
L200250,C100554,Personal,175214.47,12,19.02,Active,2025-07-09
L200251,C100000,Home,546723.08,24,11.68,Active,2025-07-05
L200252,C100366,Personal,22493.34,24,13.01,Active,2026-06-18
L200253,C100472,Personal,29887.16,12,13.51,Active,2025-11-25
L200254,C100491,Personal,100424.65,180,10.03,Active,2025-10-09
L200255,C100205,Auto,813892.15,180,7.17,Delinquent,2026-04-05
L200256,C100073,Personal,49182.87,48,12.03,Closed,2025-12-07
L200257,C100021,Consumer Durable,119779.78,60,13.24,Active,2026-04-06
L200258,C100761,Education,311605.01,48,13.55,Active,2025-10-27
L200259,C100315,Auto,432185.84,24,8.31,Active,2026-06-07
L200260,C100523,Auto,1399915.77,36,10.58,Closed,2026-03-12
L200261,C100490,Consumer Durable,112960.47,24,11.38,Active,2026-01-11
L200262,C100272,Home,551827.59,60,14.78,Active,2025-11-01
L200263,C100354,Personal,130641.6,12,12.06,Closed,2026-06-09
L200264,C100057,Consumer Durable,43235.29,180,15.9,Delinquent,2025-11-09
L200265,C100472,Auto,103107.3,48,11.58,Delinquent,2025-11-18
L200266,C100688,Auto,211306.48,48,9.37,Closed,2025-12-28
L200267,C100024,Personal,84011.59,36,12.78,Delinquent,2026-03-22
L200268,C100260,Consumer Durable,94480.02,36,11.09,Active,2025-07-03
L200269,C100451,Auto,236320.14,48,14.59,Active,2026-04-25
L200270,C100710,Education,328995.98,48,11.55,Closed,2025-12-20
L200271,C100068,Business,788749.27,60,12.55,Active,2026-01-03
L200272,C100630,Home,242220.71,180,18.0,Active,2026-05-05
L200273,C100628,Personal,67136.32,48,14.9,Active,2025-10-31
L200274,C100300,Auto,408826.08,48,8.96,Delinquent,2026-04-21
L200275,C100738,Personal,275005.92,60,16.87,Active,2026-01-18
L200276,C100094,Home,801418.35,24,15.29,Closed,2025-08-12
L200277,C100120,Auto,294122.62,60,12.79,Active,2026-04-11
L200278,C100444,Home,474731.84,24,15.07,Delinquent,2025-08-26
L200279,C100742,Personal,357693.57,24,10.84,Closed,2025-09-03
L200280,C100492,Consumer Durable,75686.18,12,15.86,Delinquent,2025-08-24
L200281,C100276,Personal,112852.37,36,13.91,Active,2026-02-11
L200282,C100265,Auto,262219.23,12,11.86,Active,2026-04-01
L200283,C100700,Education,339335.5,180,13.13,Closed,2026-01-26
L200284,C100633,Auto,497790.36,12,12.74,Active,2026-03-01
L200285,C100696,Education,485326.94,60,14.93,Active,2026-05-14
L200286,C100046,Personal,275881.25,12,11.06,Active,2026-06-24
L200287,C100560,Personal,68408.83,60,12.01,Active,2025-09-21
L200288,C100363,Home,3153805.07,12,12.68,Closed,2026-04-01
L200289,C100346,Consumer Durable,87600.76,60,17.85,Default,2026-03-12
L200290,C100604,Home,438812.22,36,8.4,Active,2026-03-22
L200291,C100579,Auto,456231.3,36,14.4,Active,2025-12-21
L200292,C100313,Home,560690.54,24,10.22,Active,2026-02-01
L200293,C100098,Personal,103885.31,120,12.43,Active,2026-03-12
L200294,C100450,Education,375224.11,12,13.1,Default,2026-03-07
L200295,C100148,Auto,133280.86,24,13.16,Active,2026-01-05
L200296,C100022,Education,116200.84,24,15.34,Closed,2026-06-26
L200297,C100675,Home,878596.19,48,15.53,Closed,2025-12-13
L200298,C100699,Home,933635.6,24,7.46,Closed,2026-04-14
L200299,C100469,Personal,247815.61,120,14.04,Active,2026-04-05
L200300,C100299,Personal,156393.16,120,8.16,Active,2026-01-06
L200301,C100645,Consumer Durable,134190.59,24,9.49,Closed,2026-04-17
L200302,C100198,Consumer Durable,71523.81,180,13.26,Active,2025-09-01
L200303,C100008,Auto,421898.22,48,16.17,Active,2025-08-30
L200304,C100006,Home,480987.37,36,11.9,Delinquent,2026-05-16
L200305,C100616,Consumer Durable,97697.05,24,13.23,Delinquent,2026-01-13
L200306,C100373,Auto,196751.45,36,14.84,Default,2026-03-16
L200307,C100709,Personal,45515.65,60,11.29,Active,2026-03-12
L200308,C100313,Personal,42205.51,60,8.56,Active,2026-06-18
L200309,C100782,Consumer Durable,55017.47,180,16.85,Delinquent,2025-12-30
L200310,C100410,Consumer Durable,109341.28,12,16.93,Active,2025-07-26
L200311,C100530,Personal,197762.08,60,12.01,Active,2026-02-24
L200312,C100347,Personal,48747.05,120,14.77,Active,2026-01-27
L200313,C100324,Personal,302041.51,180,11.21,Active,2025-07-09
L200314,C100438,Personal,55169.11,180,14.3,Active,2026-03-21
L200315,C100077,Education,290644.96,36,10.89,Active,2026-05-31
L200316,C100482,Personal,238481.49,36,19.23,Active,2026-05-25
L200317,C100138,Personal,95189.2,180,9.69,Delinquent,2025-07-28
L200318,C100623,Personal,239158.77,24,13.82,Active,2025-10-15
L200319,C100090,Home,573349.94,36,14.53,Active,2026-05-21
L200320,C100267,Personal,99172.39,180,9.09,Active,2025-10-17
L200321,C100234,Personal,84344.85,120,16.24,Delinquent,2026-01-24
L200322,C100695,Auto,365555.18,12,10.84,Closed,2025-12-06
L200323,C100758,Education,327188.93,12,15.63,Closed,2026-04-29
L200324,C100301,Home,3072078.99,24,13.73,Active,2025-10-31
L200325,C100690,Personal,105248.24,60,9.64,Active,2026-02-15
L200326,C100788,Personal,447176.2,48,10.25,Active,2026-04-28
L200327,C100390,Auto,327394.5,24,12.61,Closed,2025-11-15
L200328,C100663,Personal,294924.52,180,13.77,Delinquent,2026-01-14
L200329,C100227,Consumer Durable,51215.74,36,13.83,Delinquent,2025-08-26
L200330,C100561,Home,233794.61,180,13.96,Active,2025-09-07
L200331,C100645,Business,462313.3,12,18.97,Active,2025-09-29
L200332,C100616,Home,1318614.11,36,12.65,Closed,2025-12-26
L200333,C100035,Consumer Durable,29044.72,36,7.0,Closed,2026-04-11
L200334,C100126,Business,356355.48,180,11.02,Closed,2026-02-04
L200335,C100623,Auto,593578.45,24,9.46,Active,2026-05-05
L200336,C100274,Business,537964.34,180,12.95,Active,2026-02-17
L200337,C100149,Business,448178.44,120,8.44,Active,2026-01-04
L200338,C100684,Personal,47355.45,24,12.13,Active,2025-10-16
L200339,C100092,Home,708035.13,36,10.97,Default,2025-10-21
L200340,C100629,Education,212251.11,24,10.67,Active,2025-08-30
L200341,C100249,Home,402748.65,12,14.79,Closed,2026-05-29
L200342,C100100,Home,503268.82,180,13.92,Active,2025-09-23
L200343,C100294,Auto,283629.24,180,13.94,Active,2026-03-13
L200344,C100172,Auto,598539.95,120,13.67,Active,2025-09-18
L200345,C100679,Consumer Durable,94616.95,60,7.0,Default,2026-04-22
L200346,C100029,Consumer Durable,154064.53,12,13.52,Active,2025-07-25
L200347,C100196,Consumer Durable,37372.58,24,16.0,Closed,2025-12-07
L200348,C100357,Education,458936.42,180,15.92,Closed,2026-04-21
L200349,C100751,Education,122542.9,180,10.42,Active,2025-12-21
L200350,C100783,Home,831198.07,12,9.08,Closed,2025-11-21
L200351,C100688,Personal,78987.45,36,15.47,Written Off,2026-06-06
L200352,C100712,Business,1155929.14,12,12.47,Active,2026-05-28
L200353,C100722,Consumer Durable,124912.79,24,13.95,Active,2025-12-12
L200354,C100681,Education,622528.69,60,12.8,Default,2025-09-15
L200355,C100086,Home,585948.23,48,16.54,Active,2025-07-02
L200356,C100009,Home,822442.44,180,11.23,Delinquent,2025-09-21
L200357,C100495,Education,265648.61,60,9.54,Active,2026-01-27
L200358,C100052,Home,1913218.32,48,14.86,Closed,2026-05-05
L200359,C100505,Consumer Durable,50852.17,36,14.48,Active,2026-03-28
L200360,C100387,Auto,309256.17,36,11.59,Active,2025-10-30
L200361,C100433,Auto,742860.21,48,15.71,Active,2025-12-20
L200362,C100225,Education,806475.69,12,12.87,Closed,2026-04-02
L200363,C100211,Personal,35791.18,24,16.56,Delinquent,2025-10-26
L200364,C100144,Home,3494710.31,12,12.65,Closed,2026-01-07
L200365,C100021,Consumer Durable,224613.25,24,12.6,Active,2025-08-19
L200366,C100160,Home,1881184.45,48,9.48,Active,2025-10-10
L200367,C100560,Auto,179804.23,48,15.37,Active,2025-09-30
L200368,C100400,Auto,122895.01,24,10.94,Active,2025-07-02
L200369,C100601,Auto,200962.5,36,17.15,Active,2025-09-02
L200370,C100358,Personal,36937.39,24,15.0,Active,2026-02-04
L200371,C100402,Auto,203117.57,60,10.77,Active,2026-02-05
L200372,C100427,Home,335615.7,24,16.28,Delinquent,2025-08-27
L200373,C100441,Consumer Durable,71891.28,180,14.72,Delinquent,2026-03-07
L200374,C100323,Business,523203.07,60,8.2,Active,2025-09-16
L200375,C100713,Business,292286.81,180,12.58,Active,2026-01-03
L200376,C100304,Auto,448262.24,36,10.81,Active,2025-12-23
L200377,C100394,Home,860404.21,180,13.66,Active,2025-10-22
L200378,C100152,Education,340585.15,180,16.31,Closed,2025-07-24
L200379,C100341,Auto,248736.24,24,16.83,Delinquent,2026-04-14
L200380,C100228,Auto,177019.77,36,12.44,Active,2025-10-16
L200381,C100307,Auto,553231.66,60,7.0,Active,2026-05-13
L200382,C100560,Consumer Durable,37380.65,180,17.18,Closed,2026-04-20
L200383,C100728,Personal,174056.14,48,10.71,Active,2025-09-08
L200384,C100010,Personal,59035.57,24,15.88,Active,2026-05-08
L200385,C100652,Education,139849.72,180,11.77,Active,2025-08-17
L200386,C100297,Auto,189956.51,60,12.53,Active,2026-06-21
L200387,C100393,Personal,103219.93,60,12.33,Active,2025-12-10
L200388,C100664,Business,758264.58,36,14.93,Closed,2026-06-24
L200389,C100524,Personal,138678.96,60,14.08,Active,2026-02-17
L200390,C100684,Home,207850.66,36,9.76,Active,2026-06-14
L200391,C100425,Home,666190.64,24,12.82,Active,2025-10-08
L200392,C100327,Auto,92794.1,180,18.48,Active,2025-10-31
L200393,C100756,Auto,397456.04,60,18.15,Active,2025-07-19
L200394,C100669,Home,1238264.64,48,12.0,Active,2026-06-15
L200395,C100313,Home,661679.24,180,10.71,Delinquent,2025-10-09
L200396,C100799,Home,742679.85,120,13.03,Active,2026-06-09
L200397,C100210,Home,3115515.17,36,19.52,Active,2025-08-24
L200398,C100680,Business,754250.34,12,12.52,Active,2025-07-11
L200399,C100758,Consumer Durable,47774.45,120,15.21,Active,2025-10-23
L200400,C100048,Personal,85377.19,60,11.54,Delinquent,2025-08-02
L200401,C100454,Consumer Durable,87917.09,12,13.37,Active,2026-01-18
L200402,C100614,Home,1395146.99,180,10.57,Active,2026-03-12
L200403,C100454,Home,665758.51,48,14.48,Active,2025-08-22
L200404,C100589,Business,511587.43,120,18.95,Active,2026-01-10
L200405,C100106,Business,210854.87,48,15.56,Active,2025-09-08
L200406,C100491,Business,705274.94,12,13.59,Default,2026-05-06
L200407,C100710,Business,376358.53,120,15.43,Active,2026-03-17
L200408,C100187,Auto,327206.76,12,13.25,Written Off,2026-04-01
L200409,C100018,Personal,53716.99,48,10.74,Active,2026-05-05
