repayment_id,loan_id,installment_no,due_date,paid_amount,missed_flag,days_past_due
R400085,L200012,6,2026-03-13,8824.03,0,5
R400086,L200012,7,2026-04-13,8677.06,0,2
R400087,L200012,8,2026-05-13,7815.32,0,4
R400088,L200012,9,2026-06-13,8817.87,0,0
R400089,L200013,1,2026-05-06,974.34,0,2
R400090,L200013,2,2026-06-06,991.89,0,6
R400091,L200014,1,2025-09-04,2154.8,0,3
R400092,L200014,2,2025-10-04,2341.49,0,1
R400093,L200014,3,2025-11-04,2115.23,0,6
R400094,L200014,4,2025-12-04,2271.49,0,6
R400095,L200014,5,2026-01-04,2359.02,0,1
R400096,L200014,6,2026-02-04,2220.07,0,3
R400097,L200014,7,2026-03-04,2137.89,0,2
R400098,L200014,8,2026-04-04,2136.7,0,2
R400099,L200014,9,2026-05-04,2170.94,0,1
R400100,L200014,10,2026-06-04,2218.13,0,2
R400101,L200014,11,2026-07-04,2186.01,0,3
R400102,L200015,1,2025-11-01,4594.99,0,3
R400103,L200015,2,2025-12-01,5149.63,0,3
R400104,L200015,3,2026-01-01,4897.14,0,0
R400105,L200015,4,2026-02-01,4524.3,0,4
R400106,L200015,5,2026-03-01,4882.34,0,4
R400107,L200015,6,2026-04-01,5028.25,0,1
R400108,L200015,7,2026-05-01,4549.3,0,1
R400109,L200015,8,2026-06-01,4923.44,0,4
R400110,L200015,9,2026-07-01,5165.98,0,4
R400111,L200016,1,2026-06-03,8771.88,0,2
R400112,L200017,1,2025-11-19,13112.27,0,2
R400113,L200017,2,2025-12-19,12601.06,0,1
R400114,L200017,3,2026-01-19,13130.8,0,4
R400115,L200017,4,2026-02-19,11550.27,0,5
R400116,L200017,5,2026-03-19,13112.17,0,1
R400117,L200017,6,2026-04-19,12178.57,0,0
R400118,L200017,7,2026-05-19,12424.19,0,4
R400119,L200017,8,2026-06-19,12629.35,0,2
R400120,L200018,1,2026-02-03,802.76,0,3
R400121,L200018,2,2026-03-03,908.95,0,5
R400122,L200018,3,2026-04-03,830.01,0,5
R400123,L200018,4,2026-05-03,794.39,0,2
R400124,L200018,5,2026-06-03,905.96,0,3
R400125,L200019,1,2026-02-28,2376.19,0,5
R400126,L200019,2,2026-03-29,2275.03,0,2
R400127,L200019,3,2026-04-29,2352.47,0,0
R400128,L200019,4,2026-05-29,2320.53,0,1
R400129,L200019,5,2026-06-29,2215.87,0,0
R400130,L200020,1,2025-10-12,2785.89,0,5
R400131,L200020,2,2025-11-12,,1,91
R400132,L200020,3,2025-12-12,2783.63,0,5
R400133,L200020,4,2026-01-12,2527.43,0,4
R400134,L200020,5,2026-02-12,2811.15,0,0
R400135,L200020,6,2026-03-12,2778.12,0,1
R400136,L200020,7,2026-04-12,2752.18,0,4
R400137,L200020,8,2026-05-12,2681.99,0,4
R400138,L200020,9,2026-06-12,2703.36,0,1
R400139,L200021,1,2025-09-30,57507.59,0,0
R400140,L200021,2,2025-10-31,56174.03,0,3
R400141,L200021,3,2025-11-30,56528.36,0,2
R400142,L200021,4,2025-12-31,58391.88,0,0
R400143,L200021,5,2026-01-31,54181.05,0,5
R400144,L200021,6,2026-02-28,59860.24,0,0
R400145,L200021,7,2026-03-31,59597.89,0,4
R400146,L200021,8,2026-04-30,60031.02,0,3
R400147,L200021,9,2026-05-31,52518.41,0,4
R400148,L200021,10,2026-06-30,56676.15,0,2
R400149,L200022,1,2025-08-21,2079.17,0,0
R400150,L200022,2,2025-09-21,2078.58,0,3
R400151,L200022,3,2025-10-21,2013.45,0,0
R400152,L200022,4,2025-11-21,1920.5,0,2
R400153,L200022,5,2025-12-21,1842.67,0,6
R400154,L200022,6,2026-01-21,1796.31,0,4
R400155,L200022,7,2026-02-21,1950.4,0,6
R400156,L200022,8,2026-03-21,1800.02,0,1
R400157,L200022,9,2026-04-21,2072.38,0,0
R400158,L200022,10,2026-05-21,,1,77
R400159,L200022,11,2026-06-21,1869.9,0,0
R400160,L200023,1,2025-08-03,141.86,0,4
R400161,L200023,2,2025-09-03,139.72,0,1
R400162,L200023,3,2025-10-03,133.08,0,0
R400163,L200023,4,2025-11-03,130.39,0,6
R400164,L200023,5,2025-12-03,143.6,0,0
R400165,L200023,6,2026-01-03,139.16,0,4
R400166,L200023,7,2026-02-03,144.42,0,2
R400167,L200023,8,2026-03-03,134.0,0,6
R400168,L200023,9,2026-04-03,148.79,0,1
R400169,L200023,10,2026-05-03,137.12,0,5
R400170,L200023,11,2026-06-03,131.06,0,2
R400171,L200023,12,2026-07-03,146.54,0,3
R400172,L200024,1,2026-01-08,2012.9,0,4
R400173,L200024,2,2026-02-08,2000.84,0,0
R400174,L200024,3,2026-03-08,,1,74
R400175,L200024,4,2026-04-08,,1,53
R400176,L200024,5,2026-05-08,2043.61,0,2
R400177,L200024,6,2026-06-08,2055.45,0,1
R400178,L200025,1,2026-01-31,12436.48,0,0
R400179,L200025,2,2026-02-28,11075.23,0,0
R400180,L200025,3,2026-03-31,11965.83,0,4
R400181,L200025,4,2026-04-30,11849.33,0,2
R400182,L200025,5,2026-05-31,11291.12,0,6
R400183,L200025,6,2026-06-30,12417.8,0,1
R400184,L200026,1,2025-08-21,4726.7,0,3
R400185,L200026,2,2025-09-21,4903.31,0,4
R400186,L200026,3,2025-10-21,5220.58,0,5
R400187,L200026,4,2025-11-21,5024.21,0,1
R400188,L200026,5,2025-12-21,4992.37,0,0
R400189,L200026,6,2026-01-21,5203.39,0,4
R400190,L200026,7,2026-02-21,4739.52,0,0
R400191,L200026,8,2026-03-21,5079.54,0,4
R400192,L200026,9,2026-04-21,4861.1,0,0
R400193,L200026,10,2026-05-21,5005.87,0,2
R400194,L200026,11,2026-06-21,4639.6,0,1
R400195,L200027,1,2026-05-29,1740.07,0,6
R400196,L200027,2,2026-06-29,1770.21,0,5
R400197,L200028,1,2026-03-07,,1,48
R400198,L200028,2,2026-04-07,1994.09,0,5
R400199,L200028,3,2026-05-07,2007.64,0,2
R400200,L200028,4,2026-06-07,2188.46,0,5
R400201,L200029,1,2025-11-20,7875.16,0,0
R400202,L200029,2,2025-12-20,,1,84
R400203,L200029,3,2026-01-20,7979.92,0,1
R400204,L200029,4,2026-02-20,8462.57,0,0
R400205,L200029,5,2026-03-20,8162.84,0,0
R400206,L200029,6,2026-04-20,7702.49,0,0
R400207,L200029,7,2026-05-20,7432.15,0,5
R400208,L200029,8,2026-06-20,7945.99,0,6
R400209,L200030,1,2025-10-18,41943.43,0,1
R400210,L200030,2,2025-11-18,42932.75,0,1
R400211,L200030,3,2025-12-18,,1,94
R400212,L200030,4,2026-01-18,39282.99,0,6
R400213,L200030,5,2026-02-18,38658.45,0,0
R400214,L200030,6,2026-03-18,39693.19,0,1
R400215,L200030,7,2026-04-18,37279.64,0,2
R400216,L200030,8,2026-05-18,38011.98,0,1
R400217,L200030,9,2026-06-18,40124.22,0,4
R400218,L200031,1,2025-09-25,881.33,0,1
R400219,L200031,2,2025-10-25,921.08,0,3
R400220,L200031,3,2025-11-25,883.19,0,6
R400221,L200031,4,2025-12-25,901.87,0,1
R400222,L200031,5,2026-01-25,854.64,0,5
R400223,L200031,6,2026-02-25,890.09,0,3
R400224,L200031,7,2026-03-25,928.89,0,6
R400225,L200031,8,2026-04-25,860.87,0,4
R400226,L200031,9,2026-05-25,922.89,0,3
R400227,L200031,10,2026-06-25,899.07,0,6
R400228,L200032,1,2026-02-15,5404.46,0,1
R400229,L200032,2,2026-03-15,4877.76,0,3
R400230,L200032,3,2026-04-15,5177.08,0,3
R400231,L200032,4,2026-05-15,4854.72,0,5
R400232,L200032,5,2026-06-15,5396.5,0,2
R400233,L200033,1,2025-10-03,7275.03,0,4
R400234,L200033,2,2025-11-03,6731.88,0,1
R400235,L200033,3,2025-12-03,6805.91,0,4
R400236,L200033,4,2026-01-03,6403.59,0,3
R400237,L200033,5,2026-02-03,6478.61,0,1
R400238,L200033,6,2026-03-03,6564.3,0,0
R400239,L200033,7,2026-04-03,7331.84,0,2
R400240,L200033,8,2026-05-03,7306.72,0,1
R400241,L200033,9,2026-06-03,6952.21,0,1
R400242,L200033,10,2026-07-03,7072.53,0,1
R400243,L200034,1,2026-03-17,15632.59,0,6
R400244,L200034,2,2026-04-17,15951.46,0,3
R400245,L200034,3,2026-05-17,16025.06,0,3
R400246,L200034,4,2026-06-17,16220.36,0,4
R400247,L200035,1,2025-12-26,2715.84,0,2
R400248,L200035,2,2026-01-26,2799.17,0,6
R400249,L200035,3,2026-02-26,2732.73,0,6
R400250,L200035,4,2026-03-26,2588.79,0,3
R400251,L200035,5,2026-04-26,2868.08,0,2
R400252,L200035,6,2026-05-26,2748.64,0,6
R400253,L200035,7,2026-06-26,2864.23,0,0
R400254,L200036,1,2025-12-24,6495.5,0,5
R400255,L200036,2,2026-01-24,6694.95,0,6
R400256,L200036,3,2026-02-24,5839.33,0,3
R400257,L200036,4,2026-03-24,6613.0,0,3
R400258,L200036,5,2026-04-24,6523.18,0,2
R400259,L200036,6,2026-05-24,6569.53,0,2
R400260,L200036,7,2026-06-24,6341.08,0,6
R400261,L200037,1,2026-05-21,45565.84,0,6
R400262,L200037,2,2026-06-21,41077.3,0,5
R400263,L200038,1,2026-03-01,442.21,0,6
R400264,L200038,2,2026-04-01,450.96,0,3
R400265,L200038,3,2026-05-01,423.29,0,0
R400266,L200038,4,2026-06-01,449.61,0,4
R400267,L200039,1,2025-10-03,83163.74,0,3
R400268,L200039,2,2025-11-03,,1,67
R400269,L200039,3,2025-12-03,75698.78,0,1
R400270,L200039,4,2026-01-03,81360.11,0,6
R400271,L200039,5,2026-02-03,75919.18,0,5
R400272,L200039,6,2026-03-03,82991.42,0,0
R400273,L200039,7,2026-04-03,84899.5,0,3
R400274,L200039,8,2026-05-03,,1,96
R400275,L200039,9,2026-06-03,77667.57,0,1
R400276,L200039,10,2026-07-03,76653.9,0,4
R400277,L200040,1,2025-11-09,,1,95
R400278,L200040,2,2025-12-09,6719.0,0,3
R400279,L200040,3,2026-01-09,6783.52,0,4
R400280,L200040,4,2026-02-09,6774.52,0,1
R400281,L200040,5,2026-03-09,6959.12,0,1
R400282,L200040,6,2026-04-09,7651.21,0,4
R400283,L200040,7,2026-05-09,,1,66
R400284,L200040,8,2026-06-09,6887.86,0,0
R400285,L200041,1,2026-03-18,,1,93
R400286,L200041,2,2026-04-18,12328.95,0,1
R400287,L200041,3,2026-05-18,,1,66
R400288,L200041,4,2026-06-18,13934.45,0,2
R400289,L200042,1,2026-01-14,2491.74,0,4
R400290,L200042,2,2026-02-14,2283.72,0,6
R400291,L200042,3,2026-03-14,2279.12,0,3
R400292,L200042,4,2026-04-14,2526.6,0,2
R400293,L200042,5,2026-05-14,2435.6,0,5
R400294,L200042,6,2026-06-14,2553.39,0,0
R400295,L200043,1,2026-03-06,4327.74,0,3
R400296,L200043,2,2026-04-06,4226.79,0,0
R400297,L200043,3,2026-05-06,4711.66,0,6
R400298,L200043,4,2026-06-06,4676.47,0,4
R400299,L200044,1,2025-08-16,1063.93,0,5
R400300,L200044,2,2025-09-16,950.8,0,0
R400301,L200044,3,2025-10-16,1033.55,0,2
R400302,L200044,4,2025-11-16,1031.33,0,0
R400303,L200044,5,2025-12-16,928.11,0,6
R400304,L200044,6,2026-01-16,1048.98,0,1
R400305,L200044,7,2026-02-16,976.1,0,6
R400306,L200044,8,2026-03-16,922.61,0,0
R400307,L200044,9,2026-04-16,939.36,0,1
R400308,L200044,10,2026-05-16,998.1,0,1
R400309,L200044,11,2026-06-16,956.54,0,4
R400310,L200045,1,2025-11-29,16670.5,0,6
R400311,L200045,2,2025-12-29,16553.78,0,3
R400312,L200045,3,2026-01-29,15676.06,0,1
R400313,L200045,4,2026-02-28,17406.19,0,4
R400314,L200045,5,2026-03-29,17586.19,0,2
R400315,L200045,6,2026-04-29,17509.08,0,3
R400316,L200045,7,2026-05-29,16016.4,0,1
R400317,L200045,8,2026-06-29,17918.75,0,4
R400318,L200046,1,2026-04-30,4555.52,0,4
R400319,L200046,2,2026-05-31,4709.53,0,1
R400320,L200046,3,2026-06-30,4934.59,0,5
R400321,L200047,1,2026-06-28,17109.53,0,5
R400322,L200048,1,2026-01-16,15012.95,0,6
R400323,L200048,2,2026-02-16,15151.87,0,1
R400324,L200048,3,2026-03-16,,1,41
R400325,L200048,4,2026-04-16,15348.89,0,6
R400326,L200048,5,2026-05-16,16201.23,0,2
R400327,L200048,6,2026-06-16,16579.99,0,1
R400328,L200049,1,2025-11-03,1846.16,0,1
R400329,L200049,2,2025-12-03,1681.27,0,6
R400330,L200049,3,2026-01-03,1683.77,0,1
R400331,L200049,4,2026-02-03,1813.85,0,1
R400332,L200049,5,2026-03-03,1645.96,0,3
R400333,L200049,6,2026-04-03,1723.51,0,3
R400334,L200049,7,2026-05-03,1673.08,0,3
R400335,L200049,8,2026-06-03,1840.83,0,6
R400336,L200049,9,2026-07-03,1656.65,0,5
R400337,L200050,1,2025-08-30,7033.88,0,6
R400338,L200050,2,2025-09-30,6495.2,0,2
R400339,L200050,3,2025-10-30,7157.01,0,3
R400340,L200050,4,2025-11-30,7072.01,0,0
R400341,L200050,5,2025-12-30,6236.96,0,0
R400342,L200050,6,2026-01-30,6989.66,0,4
R400343,L200050,7,2026-02-28,7107.84,0,5
R400344,L200050,8,2026-03-30,6914.91,0,2
R400345,L200050,9,2026-04-30,7193.17,0,4
R400346,L200050,10,2026-05-30,6265.07,0,3
R400347,L200050,11,2026-06-30,6231.77,0,2
R400348,L200051,1,2026-05-28,23386.2,0,1
R400349,L200051,2,2026-06-28,23522.94,0,0
R400350,L200052,1,2026-01-12,4437.52,0,6
R400351,L200052,2,2026-02-12,4365.88,0,6
R400352,L200052,3,2026-03-12,4099.28,0,5
R400353,L200052,4,2026-04-12,4218.54,0,2
R400354,L200052,5,2026-05-12,4258.61,0,3
R400355,L200052,6,2026-06-12,4429.64,0,1
R400356,L200053,1,2026-01-08,5793.91,0,2
R400357,L200053,2,2026-02-08,6290.08,0,3
R400358,L200053,3,2026-03-08,6374.25,0,3
R400359,L200053,4,2026-04-08,5553.0,0,3
R400360,L200053,5,2026-05-08,6169.04,0,4
R400361,L200053,6,2026-06-08,6369.62,0,5
R400362,L200054,1,2025-10-23,9168.18,0,4
R400363,L200054,2,2025-11-23,9246.8,0,5
R400364,L200054,3,2025-12-23,9234.69,0,4
R400365,L200054,4,2026-01-23,9268.23,0,1
R400366,L200054,5,2026-02-23,9418.55,0,0
R400367,L200054,6,2026-03-23,8900.7,0,4
R400368,L200054,7,2026-04-23,8731.68,0,1
R400369,L200054,8,2026-05-23,8499.08,0,3
R400370,L200054,9,2026-06-23,8694.61,0,5
R400371,L200055,1,2026-05-07,1594.99,0,6
R400372,L200055,2,2026-06-07,,1,90
R400373,L200056,1,2025-10-29,9044.87,0,3
R400374,L200056,2,2025-11-29,8852.92,0,0
R400375,L200056,3,2025-12-29,9002.04,0,1
R400376,L200056,4,2026-01-29,9681.04,0,6
R400377,L200056,5,2026-02-28,8861.81,0,4
R400378,L200056,6,2026-03-29,9631.61,0,6
R400379,L200056,7,2026-04-29,9803.04,0,6
R400380,L200056,8,2026-05-29,9653.02,0,4
R400381,L200056,9,2026-06-29,9914.54,0,6
R400382,L200057,1,2026-06-06,1778.89,0,2
R400383,L200058,1,2026-02-10,2183.46,0,2
R400384,L200058,2,2026-03-10,2185.59,0,0
R400385,L200058,3,2026-04-10,2230.46,0,4
R400386,L200058,4,2026-05-10,1984.61,0,1
R400387,L200058,5,2026-06-10,2089.03,0,6
R400388,L200059,1,2025-08-14,13245.49,0,0
R400389,L200059,2,2025-09-14,13005.82,0,4
R400390,L200059,3,2025-10-14,14343.46,0,0
R400391,L200059,4,2025-11-14,15011.52,0,1
R400392,L200059,5,2025-12-14,13545.11,0,1
R400393,L200059,6,2026-01-14,13035.43,0,1
R400394,L200059,7,2026-02-14,14266.34,0,4
R400395,L200059,8,2026-03-14,12932.16,0,2
R400396,L200059,9,2026-04-14,13971.66,0,4
R400397,L200059,10,2026-05-14,13353.52,0,5
R400398,L200059,11,2026-06-14,14055.7,0,2
R400399,L200060,1,2026-04-01,25164.23,0,6
R400400,L200060,2,2026-05-01,26778.02,0,3
R400401,L200060,3,2026-06-01,24505.52,0,0
R400402,L200060,4,2026-07-01,25858.74,0,2
R400403,L200061,1,2025-11-02,4526.26,0,1
R400404,L200061,2,2025-12-02,4345.46,0,5
R400405,L200061,3,2026-01-02,4422.11,0,3
R400406,L200061,4,2026-02-02,,1,80
R400407,L200061,5,2026-03-02,4648.17,0,0
R400408,L200061,6,2026-04-02,4518.74,0,1
R400409,L200061,7,2026-05-02,4472.66,0,3
R400410,L200061,8,2026-06-02,4426.68,0,4
R400411,L200061,9,2026-07-02,4282.04,0,1
R400412,L200062,1,2025-08-28,5075.67,0,6
R400413,L200062,2,2025-09-28,4813.55,0,4
R400414,L200062,3,2025-10-28,5355.59,0,6
R400415,L200062,4,2025-11-28,4899.44,0,6
R400416,L200062,5,2025-12-28,5453.73,0,3
R400417,L200062,6,2026-01-28,4792.6,0,4
R400418,L200062,7,2026-02-28,4766.59,0,6
R400419,L200062,8,2026-03-28,4838.75,0,6
R400420,L200062,9,2026-04-28,4909.71,0,5
R400421,L200062,10,2026-05-28,5006.82,0,3
R400422,L200062,11,2026-06-28,4819.36,0,5
R400423,L200063,1,2026-04-18,7567.81,0,6
R400424,L200063,2,2026-05-18,6908.51,0,5
R400425,L200063,3,2026-06-18,6751.93,0,6
R400426,L200064,1,2026-03-05,,1,92
R400427,L200064,2,2026-04-05,694.71,0,5
R400428,L200064,3,2026-05-05,679.74,0,1
R400429,L200064,4,2026-06-05,733.59,0,4
R400430,L200065,1,2025-08-15,7374.74,0,6
R400431,L200065,2,2025-09-15,8108.5,0,3
R400432,L200065,3,2025-10-15,,1,72
R400433,L200065,4,2025-11-15,7630.19,0,0
R400434,L200065,5,2025-12-15,8509.26,0,6
R400435,L200065,6,2026-01-15,7541.72,0,2
R400436,L200065,7,2026-02-15,7396.41,0,6
R400437,L200065,8,2026-03-15,8228.39,0,1
R400438,L200065,9,2026-04-15,8012.38,0,0
R400439,L200065,10,2026-05-15,8276.45,0,5
R400440,L200065,11,2026-06-15,7626.59,0,0
R400441,L200066,1,2025-12-08,700.04,0,4
R400442,L200066,2,2026-01-08,674.22,0,4
R400443,L200066,3,2026-02-08,694.85,0,5
R400444,L200066,4,2026-03-08,626.83,0,1
R400445,L200066,5,2026-04-08,619.11,0,0
R400446,L200066,6,2026-05-08,702.48,0,1
R400447,L200066,7,2026-06-08,634.15,0,1
R400448,L200067,1,2025-11-14,657.37,0,0
R400449,L200067,2,2025-12-14,686.68,0,2
R400450,L200067,3,2026-01-14,676.91,0,2
R400451,L200067,4,2026-02-14,723.56,0,6
R400452,L200067,5,2026-03-14,646.65,0,0
R400453,L200067,6,2026-04-14,699.69,0,5
R400454,L200067,7,2026-05-14,691.0,0,0
R400455,L200067,8,2026-06-14,679.84,0,0
R400456,L200068,1,2026-02-16,74911.45,0,1
R400457,L200068,2,2026-03-16,74589.55,0,2
R400458,L200068,3,2026-04-16,69693.63,0,6
R400459,L200068,4,2026-05-16,73690.13,0,0
R400460,L200068,5,2026-06-16,66692.96,0,6
R400461,L200069,1,2026-03-24,605.04,0,3
R400462,L200069,2,2026-04-24,631.18,0,5
R400463,L200069,3,2026-05-24,669.24,0,0
R400464,L200069,4,2026-06-24,,1,77
R400465,L200070,1,2025-12-17,8735.16,0,1
R400466,L200070,2,2026-01-17,9084.45,0,2
R400467,L200070,3,2026-02-17,9054.98,0,3
R400468,L200070,4,2026-03-17,8458.52,0,6
R400469,L200070,5,2026-04-17,9831.7,0,1
R400470,L200070,6,2026-05-17,8706.05,0,2
R400471,L200070,7,2026-06-17,9065.11,0,2
R400472,L200071,1,2026-01-20,4531.92,0,1
R400473,L200071,2,2026-02-20,4423.79,0,3
R400474,L200071,3,2026-03-20,4515.22,0,5
R400475,L200071,4,2026-04-20,4698.02,0,2
R400476,L200071,5,2026-05-20,4814.48,0,3
R400477,L200071,6,2026-06-20,4892.53,0,3
R400478,L200072,1,2026-02-12,2920.49,0,3
R400479,L200072,2,2026-03-12,2914.25,0,0
R400480,L200072,3,2026-04-12,2700.46,0,3
R400481,L200072,4,2026-05-12,2814.73,0,2
R400482,L200072,5,2026-06-12,2970.91,0,2
R400483,L200073,1,2026-06-17,1124.71,0,1
R400484,L200074,1,2026-01-27,831.81,0,5
R400485,L200074,2,2026-02-27,962.99,0,5
R400486,L200074,3,2026-03-27,872.66,0,4
R400487,L200074,4,2026-04-27,892.31,0,2
R400488,L200074,5,2026-05-27,866.55,0,1
R400489,L200074,6,2026-06-27,900.68,0,3
R400490,L200075,1,2025-12-24,11647.25,0,5
R400491,L200075,2,2026-01-24,11025.89,0,4
R400492,L200075,3,2026-02-24,11467.21,0,0
R400493,L200075,4,2026-03-24,12141.31,0,4
R400494,L200075,5,2026-04-24,11015.24,0,2
R400495,L200075,6,2026-05-24,11229.84,0,6
R400496,L200075,7,2026-06-24,11373.94,0,1
R400497,L200076,1,2026-07-05,4858.25,0,2
R400498,L200077,1,2025-09-21,4565.57,0,1
R400499,L200077,2,2025-10-21,4944.04,0,2
R400500,L200077,3,2025-11-21,4772.35,0,6
R400501,L200077,4,2025-12-21,5012.6,0,2
R400502,L200077,5,2026-01-21,4594.85,0,1
R400503,L200077,6,2026-02-21,4696.75,0,2
R400504,L200077,7,2026-03-21,4478.42,0,0
R400505,L200077,8,2026-04-21,4568.41,0,4
R400506,L200077,9,2026-05-21,4986.05,0,3
R400507,L200077,10,2026-06-21,4775.81,0,6
R400508,L200078,1,2026-02-04,8163.8,0,3
R400509,L200078,2,2026-03-04,9205.57,0,2
R400510,L200078,3,2026-04-04,9308.76,0,1
R400511,L200078,4,2026-05-04,8747.64,0,4
R400512,L200078,5,2026-06-04,9058.01,0,1
R400513,L200079,1,2026-03-09,12834.95,0,6
R400514,L200079,2,2026-04-09,13884.12,0,5
R400515,L200079,3,2026-05-09,,1,97
R400516,L200079,4,2026-06-09,13206.28,0,2
R400517,L200080,1,2026-01-28,,1,45
R400518,L200080,2,2026-02-28,1602.56,0,6
R400519,L200080,3,2026-03-28,,1,91
R400520,L200080,4,2026-04-28,1673.65,0,0
R400521,L200080,5,2026-05-28,1740.22,0,2
R400522,L200080,6,2026-06-28,1557.05,0,3
R400523,L200081,1,2026-06-27,13873.1,0,2
R400524,L200082,1,2026-02-28,841.52,0,2
R400525,L200082,2,2026-03-31,911.81,0,0
R400526,L200082,3,2026-04-30,961.77,0,3
R400527,L200082,4,2026-05-31,834.81,0,4
R400528,L200082,5,2026-06-30,946.35,0,5
R400529,L200083,1,2026-01-14,299.73,0,3
R400530,L200083,2,2026-02-14,283.95,0,0
R400531,L200083,3,2026-03-14,298.27,0,1
R400532,L200083,4,2026-04-14,303.02,0,3
R400533,L200083,5,2026-05-14,313.57,0,0
R400534,L200083,6,2026-06-14,293.78,0,0
R400535,L200084,1,2025-09-15,1607.14,0,4
R400536,L200084,2,2025-10-15,1601.44,0,4
R400537,L200084,3,2025-11-15,1689.22,0,2
R400538,L200084,4,2025-12-15,1514.96,0,4
R400539,L200084,5,2026-01-15,1645.32,0,4
R400540,L200084,6,2026-02-15,1532.39,0,3
R400541,L200084,7,2026-03-15,1557.48,0,3
R400542,L200084,8,2026-04-15,1557.41,0,4
