transaction_id,transaction_date,customer_id,loan_id,age,gender,city,state,employment_type,monthly_income,customer_segment,credit_score,bureau_accounts,active_accounts,overdue_accounts,total_bureau_loan_amount,credit_utilization,loan_type,loan_amount,tenure_months,interest_rate,loan_status,disbursement_date,emi_amount,days_past_due,emi_paid,emi_missed,late_payment_count,principal_outstanding,interest_paid,penalty_amount,recovery_amount,profit_amount,transaction_type,transaction_amount,payment_channel,merchant_category,transaction_status
T302065,2025-07-02,C100338,,36.0,Female,Mumbai,Maharashtra,Business Owner,129600.0,Mass Affluent,,4,3,0,1794300.0,0.473,,,,,,,,,,,,,,,,,Debit,907.78,NEFT,Healthcare,Failed
T300348,2025-07-02,C100280,L200318,38.0,Female,Vadodara,Gujarat,Contract,68600.0,Mass,754.0,5,2,0,428100.0,0.173,Business,313091.02,48.0,15.19,Delinquent,2025-12-16,8743.74,19.0,4.0,2.0,2.0,290357.29,22471.42,1189.37,372.76,849.12,Debit,323.28,Card,Groceries,Successful
T301436,2025-07-03,C100015,L202017,63.0,Female,New Delhi,Delhi,Salaried,48600.0,Mass,681.0,6,3,0,542900.0,0.112,Consumer Durable,48659.47,12.0,16.68,Active,2026-05-12,4430.59,3.0,1.0,0.0,0.0,45779.59,2846.65,0.0,408.81,-849.68,Credit,5765.76,Net Banking,Groceries,Successful
T301110,2025-07-03,C100793,L201022,36.0,Female,Nagpur,Maharashtra,Salaried,44600.0,SME,696.0,4,3,1,550000.0,0.094,Personal,60581.9,12.0,13.18,Closed,2025-07-21,5416.13,4.0,11.0,0.0,1.0,21856.59,38278.48,0.0,804.02,35661.25,Debit,2857.89,UPI,Utilities,Failed
T301701,2025-07-03,C100034,L201817,33.0,Female,Mumbai,Maharashtra,Salaried,83800.0,Mass Affluent,642.0,3,3,0,694500.0,0.262,Auto,416157.82,36.0,11.06,Delinquent,2026-01-24,13636.3,19.0,4.0,1.0,1.0,380703.44,35045.29,204.98,819.23,3992.33,Debit,2691.61,NEFT,Education,Successful
T300155,2025-07-03,C100079,L200853,38.0,Male,Kolkata,West Bengal,Self-employed,105500.0,Mass Affluent,708.0,6,5,1,1421900.0,0.169,Personal,129270.08,18.0,13.33,Active,2026-03-22,7963.25,1.0,3.0,0.0,0.0,113741.74,15349.17,0.0,898.9,9268.28,Credit,1088.75,Card,Healthcare,Reversed
T300869,2025-07-03,C100792,L201363,68.0,Male,Vadodara,Gujarat,Salaried,56700.0,Mass,688.0,1,1,1,781900.0,0.162,Business,253042.42,48.0,16.52,Closed,2025-11-08,7238.86,8.0,7.0,0.0,0.0,220105.6,32556.78,0.0,215.7,13945.95,Credit,1347.35,UPI,Utilities,Reversed
T300275,2025-07-03,C100136,L201551,37.0,Female,Mangaluru,Karnataka,Salaried,102400.0,Mass,715.0,3,3,0,486500.0,0.373,Personal,116698.62,24.0,14.44,Closed,2025-09-09,5627.32,1.0,9.0,0.0,0.0,83778.77,32540.01,0.0,429.02,23547.04,Debit,2006.84,Card,Travel,Successful
T301967,2025-07-04,C100247,L201929,50.0,Female,Chennai,Tamil Nadu,Self-employed,53300.0,Mass,714.0,4,2,0,387700.0,0.03,Home,409714.77,180.0,7.0,Active,2025-10-06,3682.63,36.0,5.0,3.0,3.0,397746.22,11830.46,1302.86,761.17,-17063.74,Debit,1791.36,Card,Shopping,Successful
T300942,2025-07-04,C100633,L201035,36.0,Male,Ahmedabad,Gujarat,Salaried,42500.0,Mass,709.0,5,3,1,403500.0,0.217,Business,493706.81,48.0,16.09,Default,2026-01-01,14014.56,14.0,5.0,1.0,2.0,523631.07,86531.13,553.8,347511.86,79398.3,Debit,325.74,UPI,Utilities,Successful
T300359,2025-07-04,C100424,L202057,36.0,Female,Dwarka,Delhi,Salaried,62900.0,Mass Affluent,799.0,9,4,2,867600.0,0.465,Personal,88225.08,18.0,12.74,Active,2025-07-12,5410.52,17.0,10.0,1.0,1.0,53056.68,34762.61,566.7,17.44,33052.03,Credit,1970.6,UPI,Healthcare,Successful
T301512,2025-07-04,C100178,L200636,34.0,Male,Nizamabad,Telangana,Retired,43200.0,Mass,686.0,4,2,0,367600.0,0.38,Personal,61101.65,18.0,16.31,Closed,2025-10-16,3849.59,5.0,8.0,0.0,0.0,41083.78,19786.89,0.0,432.91,13010.17,Debit,1467.39,Net Banking,Travel,Failed
T300610,2025-07-04,C100636,L201585,34.0,Female,Vadodara,Gujarat,Salaried,37600.0,SME,725.0,4,3,1,343400.0,0.317,Home,462580.72,300.0,7.0,Active,2026-03-24,3269.42,5.0,3.0,0.0,0.0,456205.34,6301.82,0.0,911.64,-32820.88,Debit,2803.46,IMPS,Travel,Successful
T300115,2025-07-05,C100569,L201801,28.0,Female,Ahmedabad,Gujarat,Salaried,79800.0,Mass,698.0,4,4,0,955600.0,0.052,Home,1243950.79,120.0,8.81,Delinquent,2025-08-04,15630.22,42.0,9.0,2.0,2.0,1152514.03,90381.72,1362.96,576.3,-5267.52,Debit,794.82,NEFT,Travel,Failed
T301398,2025-07-05,C100309,L200353,36.0,Male,Nagpur,Maharashtra,Salaried,58700.0,SME,784.0,5,2,0,354200.0,0.194,Auto,391777.18,36.0,8.77,Active,2026-01-10,12416.51,2.0,5.0,0.0,0.0,351423.51,39888.05,0.0,166.38,10282.9,Debit,4648.35,IMPS,Healthcare,Successful
T302009,2025-07-05,C100219,L202034,21.0,Female,Pune,Maharashtra,Contract,55000.0,Mass,705.0,4,4,0,376500.0,0.132,Auto,269007.4,60.0,10.2,Active,2026-01-06,5742.12,24.0,4.0,1.0,3.0,254077.89,14757.25,447.65,23.96,-4945.44,Debit,1994.99,IMPS,Healthcare,Successful
T300966,2025-07-06,C100211,L200582,42.0,Male,Mumbai,Maharashtra,Business Owner,112100.0,Mass Affluent,647.0,6,2,0,1128500.0,0.219,Home,1487779.56,120.0,9.86,Delinquent,2026-01-26,19545.96,8.0,4.0,1.0,1.0,1436960.07,50233.11,618.88,205.62,-63978.81,Credit,1231.16,NEFT,Restaurants,Successful
T300064,2025-07-06,C100034,L201817,33.0,Female,Mumbai,Maharashtra,Salaried,83800.0,Mass Affluent,642.0,3,3,0,694500.0,0.262,Auto,416157.82,36.0,11.06,Delinquent,2026-01-24,13636.3,19.0,4.0,1.0,1.0,380703.44,35045.29,204.98,819.23,3992.33,Debit,2153.39,IMPS,Restaurants,Successful
T301023,2025-07-06,C100540,L201165,35.0,Male,Vadodara,Gujarat,Contract,88100.0,Mass,696.0,2,2,1,630900.0,0.141,Home,1145705.12,300.0,9.46,Active,2026-05-06,9978.15,0.0,1.0,0.0,1.0,1139219.32,6410.96,0.0,911.43,-82774.3,Credit,3036.54,NEFT,Utilities,Successful
T301692,2025-07-06,C100526,L200749,21.0,Male,Howrah,West Bengal,Salaried,158000.0,Affluent,762.0,5,4,0,2132600.0,0.326,Personal,314982.82,12.0,13.78,Closed,2026-03-25,28248.8,0.0,3.0,0.0,1.0,259897.65,54449.57,0.0,279.66,35738.86,Debit,888.95,UPI,Education,Successful
T301525,2025-07-06,C100292,L200565,37.0,Other,Nizamabad,Telangana,Salaried,66400.0,Mass Affluent,663.0,2,2,0,349000.0,0.458,Personal,162481.22,12.0,15.71,Closed,2025-09-14,14719.77,2.0,9.0,0.0,0.0,76370.56,85117.08,0.0,768.76,80998.79,Credit,7788.39,IMPS,Healthcare,Successful
T300817,2025-07-06,C100109,L200008,21.0,Female,Pune,Maharashtra,Salaried,43800.0,Mass,738.0,5,4,1,537000.0,0.243,Personal,92104.5,36.0,14.28,Closed,2025-09-19,3160.45,6.0,9.0,0.0,0.0,73615.85,18275.32,0.0,494.45,17454.01,Debit,2144.56,UPI,Restaurants,Successful
T301572,2025-07-06,C100481,L201610,29.0,Female,Warangal,Telangana,Salaried,90200.0,Mass,713.0,5,3,0,629900.0,0.06,Education,230661.14,24.0,11.18,Active,2026-03-21,10769.9,2.0,3.0,0.0,0.0,209659.83,20758.99,0.0,183.47,7573.97,Debit,1633.96,NEFT,Groceries,Successful
T300134,2025-07-06,C100604,L201598,21.0,Male,Nagpur,Maharashtra,Business Owner,161700.0,Mass,755.0,5,3,0,2131000.0,0.384,Business,684188.65,36.0,15.82,Active,2026-03-16,23993.29,2.0,3.0,0.0,0.0,637401.74,46247.06,0.0,123.77,-7884.68,Debit,3851.76,Net Banking,Utilities,Successful
T301770,2025-07-07,C100743,L201236,47.0,Female,Howrah,West Bengal,Contract,18000.0,Mass,705.0,2,2,0,224400.0,0.368,Business,173347.55,36.0,16.15,Closed,2025-07-27,6107.23,0.0,11.0,0.0,0.0,129680.85,43162.85,0.0,338.43,28957.34,Debit,7527.3,NEFT,Utilities,Failed
T300594,2025-07-07,C100085,L201091,36.0,Other,Coimbatore,Tamil Nadu,Salaried,52300.0,Mass,666.0,5,3,0,350700.0,0.273,Auto,230301.42,72.0,10.69,Closed,2026-02-21,4347.1,5.0,4.0,0.0,0.0,218998.97,11172.04,0.0,125.44,-6081.75,Credit,14221.26,UPI,Restaurants,Successful
T300773,2025-07-07,C100329,L201191,21.0,Male,Bengaluru,Karnataka,Self-employed,133500.0,Mass Affluent,710.0,6,3,2,951900.0,0.178,Auto,378675.38,60.0,10.52,Default,2025-08-19,8142.96,22.0,8.0,2.0,3.0,424116.43,90136.28,932.02,103797.77,68821.74,Credit,1587.79,Card,Utilities,Successful
T301053,2025-07-07,C100628,L200970,37.0,Male,New Delhi,Delhi,Salaried,79900.0,Mass,584.0,4,4,1,893300.0,0.631,Auto,191313.55,36.0,14.23,Active,2025-10-22,6560.04,17.0,7.0,1.0,1.0,161465.39,29503.76,694.04,306.8,21345.66,Debit,,Net Banking,Utilities,Successful
T302170,2025-07-07,C100637,L200930,40.0,Male,Mangaluru,Karnataka,Self-employed,69000.0,Mass,733.0,5,3,0,538000.0,0.243,Personal,163591.09,36.0,12.9,Active,2026-05-31,5504.15,6.0,1.0,0.0,0.0,160013.39,3536.42,0.0,914.26,-9419.83,Debit,3423.8,NEFT,Travel,Successful
T301702,2025-07-08,C100407,L200724,44.0,Female,Chennai,Tamil Nadu,Salaried,59100.0,Mass Affluent,747.0,3,3,0,511600.0,0.247,Personal,74862.34,24.0,13.91,Active,2026-02-26,3591.17,7.0,4.0,0.0,0.0,65525.29,9229.32,0.0,766.0,4452.27,Debit,7292.52,UPI,Utilities,Successful
T300858,2025-07-08,C100742,L202025,31.0,Female,Coimbatore,Tamil Nadu,Salaried,34400.0,Mass,716.0,9,2,0,304300.0,0.589,Home,228341.49,240.0,7.49,Active,2026-01-19,1838.11,2.0,5.0,0.0,0.0,222367.64,5904.92,0.0,183.24,-16749.67,Debit,4318.45,Net Banking,Education,Successful
T301212,2025-07-08,C100349,L201126,42.0,Male,Madurai,Tamil Nadu,Self-employed,72100.0,Mass Affluent,794.0,6,2,0,307800.0,0.461,Business,628798.96,12.0,12.74,Active,2025-09-08,56085.94,5.0,9.0,0.0,0.0,300696.23,324316.93,0.0,587.54,301081.43,Debit,33623.12,Card,Restaurants,Successful
T300312,2025-07-08,C100348,L201429,39.0,Male,Kolkata,West Bengal,Salaried,105600.0,Affluent,682.0,7,6,1,954300.0,0.153,Home,1034006.21,120.0,9.99,Active,2025-08-04,13658.74,7.0,11.0,0.0,0.0,936346.2,96533.17,0.0,488.56,24198.3,Debit,1293.25,Card,Travel,Successful
T300473,2025-07-08,C100672,L201455,53.0,Female,Nagpur,Maharashtra,Self-employed,139300.0,Mass,717.0,1,1,1,618500.0,0.511,Home,685279.48,240.0,7.23,Active,2025-08-03,5407.98,2.0,11.0,0.0,0.0,646612.4,38220.92,0.0,399.34,-13829.28,Credit,12587.05,UPI,Education,Successful
T300648,2025-07-09,C100612,L200643,38.0,Male,New Delhi,Delhi,Self-employed,112600.0,SME,680.0,1,1,0,1554900.0,0.195,Consumer Durable,126988.78,9.0,18.49,Active,2025-08-10,15219.07,2.0,10.0,0.0,0.0,28064.84,97782.51,0.0,337.12,93991.52,Debit,3085.88,UPI,Healthcare,Successful
T301224,2025-07-09,C100052,,48.0,Male,Surat,Gujarat,Salaried,109700.0,Mass,760.0,4,1,0,580600.0,0.444,,,,,,,,,,,,,,,,,Debit,738.82,UPI,Groceries,Successful
T301227,2025-07-09,C100635,L201482,25.0,Female,Mumbai,Maharashtra,Salaried,147800.0,Mass,716.0,7,5,0,1373800.0,0.548,Consumer Durable,97400.62,6.0,16.99,Active,2025-07-16,17047.29,1.0,11.0,0.0,0.0,0.0,133949.9,0.0,0.0,131867.06,Debit,17230.2,NEFT,Healthcare,Successful
T301115,2025-07-09,C100125,L200871,29.0,Female,Rohini,Delhi,Salaried,27400.0,Mass,637.0,3,3,0,286000.0,0.33,Personal,35408.86,36.0,17.27,Active,2025-08-15,1267.19,56.0,8.0,2.0,2.0,28819.49,6513.33,459.69,905.67,3317.01,Credit,1704.57,NEFT,Utilities,Successful
T302172,2025-07-10,C100462,L201401,34.0,Female,Dwarka,Delhi,Salaried,46100.0,Mass,696.0,6,3,1,487500.0,0.357,Personal,96268.69,36.0,14.29,Closed,2026-01-24,3303.81,8.0,5.0,0.0,0.0,85531.3,10613.49,0.0,217.34,7338.31,Debit,1834.68,Net Banking,Education,Successful
T300333,2025-07-10,C100627,L201782,30.0,Female,Chennai,Tamil Nadu,Business Owner,76500.0,Mass,665.0,5,3,0,253000.0,0.275,Auto,313555.62,60.0,11.65,Delinquent,2025-12-11,6919.54,26.0,5.0,1.0,1.0,291067.11,22229.03,290.54,116.93,-3867.96,Debit,779.73,NEFT,Healthcare,Successful
T302135,2025-07-10,C100518,L200354,53.0,Male,Bengaluru,Karnataka,Business Owner,70100.0,Mass,686.0,5,2,0,893700.0,0.126,Auto,476330.81,72.0,11.5,Delinquent,2025-12-02,9188.97,74.0,4.0,3.0,3.0,452439.48,23615.66,1087.57,844.6,-13365.76,Debit,3670.16,Net Banking,Travel,Successful
T302000,2025-07-10,C100396,L200350,50.0,Male,Coimbatore,Tamil Nadu,Salaried,48500.0,Mass,717.0,3,2,0,258300.0,0.526,Business,401289.48,60.0,16.55,Active,2025-07-09,9876.24,26.0,10.0,1.0,2.0,337093.93,63454.83,662.2,5.95,38211.26,Debit,1159.89,UPI,Healthcare,Successful
T300185,2025-07-10,C100198,L200623,58.0,Male,Kolkata,West Bengal,Contract,52000.0,Mass,800.0,9,3,0,454400.0,0.445,Business,131362.04,48.0,14.53,Closed,2025-12-28,3624.68,5.0,6.0,0.0,0.0,117225.77,13973.16,0.0,674.68,2699.47,Debit,1719.4,Net Banking,Restaurants,Successful
T301222,2025-07-10,C100209,,52.0,Female,Hyderabad,Telangana,Salaried,41100.0,Affluent,750.0,4,3,1,248700.0,0.144,,,,,,,,,,,,,,,,,Debit,10377.32,UPI,Restaurants,Successful
T300437,2025-07-11,C100241,L202006,30.0,Female,Howrah,West Bengal,Business Owner,70900.0,Mass,763.0,5,4,0,429200.0,0.418,Personal,133539.6,36.0,13.41,Active,2026-06-23,4525.89,9.0,1.0,0.0,0.0,130597.77,2907.89,0.0,889.9,-9441.43,Debit,2122.46,IMPS,Travel,Successful
T300763,2025-07-11,C100260,L201615,25.0,Male,Chennai,Tamil Nadu,Self-employed,78600.0,Mass Affluent,696.0,4,4,0,1088900.0,0.129,Education,202480.54,60.0,11.53,Active,2025-07-15,4456.13,1.0,11.0,0.0,1.0,170619.25,31493.66,0.0,532.95,18828.47,Debit,268.13,UPI,Restaurants,Successful
T300906,2025-07-11,C100199,L201639,21.0,Male,Nagpur,Maharashtra,Salaried,82900.0,SME,711.0,5,2,0,1090200.0,0.357,Personal,140582.69,12.0,13.74,Active,2026-06-16,12605.32,0.0,1.0,0.0,0.0,132389.23,8098.92,0.0,493.46,-3673.59,Debit,273.83,UPI,Healthcare,Successful
T300244,2025-07-12,C100248,L200416,41.0,Male,New Delhi,Delhi,Salaried,57800.0,Affluent,618.0,4,3,1,658800.0,0.322,Personal,100307.02,18.0,16.84,Closed,2025-11-07,6344.84,62.0,4.0,3.0,4.0,83810.44,16306.23,750.55,232.12,13945.1,Debit,4369.87,UPI,Groceries,Successful
T301580,2025-07-12,C100776,L200787,,Female,Hyderabad,Telangana,Contract,71600.0,Mass,765.0,5,4,0,834200.0,0.57,Home,1230507.89,180.0,7.0,Closed,2025-08-09,11060.15,4.0,10.0,0.0,0.0,1158616.9,71061.48,0.0,343.26,-24299.04,Debit,892.97,UPI,Healthcare,Successful
T300914,2025-07-12,C100156,L202128,47.0,Female,New Delhi,Delhi,Self-employed,100900.0,Affluent,752.0,4,4,1,1083000.0,0.507,Auto,357991.45,72.0,8.25,Active,2026-02-09,6320.54,3.0,4.0,0.0,0.0,341558.05,16243.79,0.0,277.37,-12610.67,Debit,1212.49,Net Banking,Education,Successful
T302090,2025-07-12,C100336,L200656,39.0,Female,Pune,Maharashtra,Self-employed,130100.0,Mass,810.0,10,2,0,1422400.0,0.354,Personal,199268.83,36.0,12.92,Active,2026-05-14,6706.48,8.0,1.0,0.0,0.0,194909.62,4308.91,0.0,815.67,-9728.94,Debit,7930.14,UPI,Education,Successful
T301540,2025-07-12,C100041,L201359,21.0,Female,Bengaluru,Karnataka,Salaried,34300.0,Mass,719.0,5,3,0,313300.0,0.154,Consumer Durable,41098.34,12.0,17.76,Closed,2025-10-23,3763.2,0.0,8.0,0.0,0.0,21529.68,19342.86,0.0,30.47,23779.16,Debit,6462.84,IMPS,Education,Successful
T300468,2025-07-12,C100278,L201313,53.0,Female,Rohini,Delhi,Self-employed,,Mass Affluent,811.0,3,3,0,843700.0,0.125,Home,954498.19,120.0,7.25,Active,2025-10-28,11205.91,5.0,8.0,0.0,0.0,896227.47,57598.37,0.0,711.0,-9411.15,Debit,7902.94,Net Banking,Healthcare,Successful
T301675,2025-07-12,C100215,L201311,49.0,Female,Nizamabad,Telangana,Business Owner,143100.0,Mass,710.0,4,2,0,1715100.0,0.391,Consumer Durable,111418.52,12.0,17.6,Closed,2025-12-30,10193.65,5.0,6.0,0.0,0.0,71663.28,39296.52,0.0,799.15,37046.46,Debit,669.51,IMPS,Groceries,Successful
T301870,2025-07-12,C100468,L200903,46.0,Male,Mangaluru,Karnataka,Contract,35000.0,SME,712.0,5,3,0,147900.0,0.166,Business,290537.29,60.0,15.82,Closed,2026-02-20,7037.55,3.0,4.0,0.0,1.0,272239.67,18086.49,0.0,532.44,-3446.69,Credit,720.14,Net Banking,Groceries,Successful
T301980,2025-07-12,C100120,L201937,38.0,Male,Mumbai,Maharashtra,Self-employed,55400.0,Mass Affluent,589.0,6,3,3,766000.0,0.494,Personal,107889.93,24.0,16.86,Active,2026-03-02,5327.07,2.0,4.0,0.0,0.0,94039.55,13690.56,0.0,194.01,5590.78,Debit,2132.55,UPI,Restaurants,Successful
T300047,2025-07-12,C100133,L202183,40.0,Female,Mangaluru,Karnataka,Self-employed,62300.0,Mass,709.0,2,2,0,631600.0,0.351,Personal,95001.5,24.0,14.49,Active,2026-01-24,4583.32,0.0,5.0,0.0,0.0,80105.72,14723.91,0.0,967.97,7901.63,Debit,3708.67,NEFT,Restaurants,Successful
T301662,2025-07-12,C100064,L200592,24.0,Female,Howrah,West Bengal,Business Owner,72500.0,Mass Affluent,803.0,7,4,0,563200.0,0.171,Education,272020.48,60.0,8.64,Active,2026-01-30,5599.29,3.0,5.0,0.0,0.0,253822.79,17987.72,0.0,309.86,-4392.27,Debit,1116.94,UPI,Healthcare,Successful
T300156,2025-07-13,C100330,L201909,43.0,Male,Nagpur,Maharashtra,Salaried,65500.0,SME,655.0,5,4,0,528300.0,0.527,Business,348844.93,60.0,16.5,Closed,2025-07-31,8576.19,1.0,11.0,0.0,1.0,287525.2,60612.19,0.0,89.31,36752.66,Debit,545.1,UPI,Healthcare,Successful
T301291,2025-07-13,C100788,L201304,49.0,Male,Mumbai,Maharashtra,Salaried,80300.0,Mass Affluent,753.0,3,2,0,442100.0,0.334,Auto,281221.42,48.0,9.52,Closed,2025-12-05,7067.85,,6.0,0.0,0.0,253656.8,27246.56,0.0,101.84,6055.13,Credit,2216.44,NEFT,Healthcare,Successful
T301310,2025-07-13,C100289,L200486,45.0,Male,Rohini,Delhi,Self-employed,70400.0,Mass Affluent,701.0,4,4,0,429200.0,0.346,Business,450986.93,48.0,16.55,Closed,2026-01-12,12908.49,7.0,5.0,0.0,0.0,409034.34,41468.52,0.0,193.11,9743.97,Debit,3496.66,UPI,Groceries,Successful
T300352,2025-07-13,C100473,,45.0,Female,Warangal,Telangana,Salaried,43700.0,Mass,625.0,4,2,1,194700.0,0.435,,,,,,,,,,,,,,,,,Debit,9367.5,IMPS,Groceries,Successful
T300599,2025-07-13,C100019,L201830,29.0,Male,Kolkata,West Bengal,Business Owner,76100.0,Mass Affluent,680.0,7,1,0,1009800.0,0.131,Consumer Durable,161715.83,12.0,18.59,Active,2026-06-30,14871.55,5.0,1.0,0.0,1.0,152049.32,9554.97,0.0,229.1,-3677.83,Credit,1271.62,IMPS,Restaurants,Successful
T300613,2025-07-13,C100008,L201809,41.0,Female,Surat,Gujarat,Business Owner,102100.0,Mass,766.0,5,2,0,597100.0,0.111,Home,685494.22,300.0,7.88,Closed,2025-09-16,5236.38,8.0,9.0,0.0,0.0,654861.4,30279.36,0.0,124.88,-20346.42,Debit,166.44,Net Banking,Restaurants,Successful
T300960,2025-07-13,C100414,L200669,47.0,Female,Nagpur,Maharashtra,Contract,44500.0,Mass,667.0,5,1,0,577600.0,0.075,Education,142055.74,24.0,12.46,Active,2025-07-19,6717.61,7.0,11.0,0.0,0.0,94024.8,47476.73,0.0,240.3,37455.38,Credit,10530.94,UPI,Healthcare,Successful
T300023,2025-07-13,C100086,L201065,28.0,Female,Dwarka,Delhi,Salaried,83100.0,Mass,723.0,1,1,0,738200.0,0.498,Auto,441711.56,48.0,8.02,Active,2025-07-17,10787.62,2.0,11.0,0.0,0.0,364580.1,76241.49,0.0,959.11,50572.87,Debit,876.96,UPI,Travel,Failed
T301052,2025-07-13,C100523,L200183,27.0,Male,Surat,Gujarat,Salaried,83900.0,Mass,808.0,3,3,2,826100.0,0.459,Home,1278854.85,240.0,7.0,Active,2025-12-22,9914.95,6.0,6.0,0.0,0.0,1240186.55,38222.12,0.0,619.31,-61451.26,Debit,1895.09,UPI,Utilities,Successful
T301031,2025-07-14,C100783,L201068,39.0,Male,Warangal,Telangana,Salaried,76100.0,Mass,825.0,5,2,0,1046800.0,0.081,Auto,571355.52,60.0,7.7,Active,2025-10-03,11503.17,2.0,9.0,0.0,0.0,504061.97,66517.09,0.0,658.83,24498.69,Debit,3842.16,IMPS,Groceries,Successful
T301040,2025-07-14,C100001,L200550,45.0,Male,Kolkata,West Bengal,Business Owner,,Affluent,682.0,2,2,1,740900.0,0.362,Business,766649.59,36.0,17.07,Active,2026-03-24,27359.86,4.0,3.0,0.0,0.0,713297.85,52736.14,0.0,172.7,-7576.98,Credit,6271.88,UPI,Travel,Successful
T300116,2025-07-14,C100196,L201953,33.0,Male,Surat,Gujarat,Salaried,58500.0,Mass Affluent,611.0,6,4,0,665900.0,0.499,Home,202110.87,120.0,10.33,Active,2026-03-28,2707.98,0.0,3.0,0.0,1.0,196830.31,5219.63,0.0,894.29,-11090.34,Debit,3620.47,NEFT,Travel,Successful
T300259,2025-07-15,C100784,L200149,32.0,Male,Nizamabad,Telangana,Self-employed,131200.0,Mass,608.0,5,3,0,1749800.0,0.389,Education,439846.11,60.0,13.08,Active,2026-02-12,10025.87,5.0,3.0,1.0,1.0,420295.66,19324.87,624.54,886.24,-14801.45,Credit,4260.81,UPI,Shopping,Successful
T301511,2025-07-15,C100586,L200302,21.0,Female,Dwarka,Delhi,Self-employed,65400.0,Mass,731.0,4,2,0,270200.0,0.133,Personal,122766.89,18.0,14.57,Active,2025-11-26,7633.96,0.0,7.0,0.0,0.0,88032.35,34333.76,0.0,89.4,25420.96,Debit,2191.36,Card,Shopping,Successful
