transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,payment_channel,merchant_category,transaction_status
T300115,C100490,2025-11-22,Debit,1526.62,IMPS,Restaurants,Successful
T300116,C100646,2026-01-24,Debit,1280.65,UPI,Utilities,Successful
T300117,C100410,2026-02-27,Debit,578.91,Net Banking,Healthcare,Successful
T300118,C100621,2026-03-19,Debit,9155.51,UPI,Restaurants,Successful
T300119,C100459,2026-02-01,Debit,1178.45,IMPS,Education,Successful
T300120,C100381,2025-11-01,Debit,424.62,IMPS,Groceries,Failed
T300121,C100616,2025-12-07,Debit,4906.19,Net Banking,Groceries,Successful
T300122,C100161,2025-10-09,Credit,3032.87,Card,Restaurants,Successful
T300123,C100780,2026-05-04,Debit,920.82,Card,Groceries,Successful
T300124,C100373,2026-06-18,Debit,1539.89,NEFT,Utilities,Successful
T300125,C100500,2025-08-26,Debit,3821.88,IMPS,Groceries,Successful
T300126,C100692,2026-03-14,Credit,756.39,Card,Groceries,Successful
T300127,C100132,2025-08-18,Debit,1036.34,Card,Restaurants,Successful
T300128,C100428,2025-12-11,Debit,735.08,Card,Utilities,Successful
T300129,C100355,2026-03-25,Credit,6136.81,Card,Utilities,Successful
T300130,C100674,2025-10-30,Debit,4888.93,Net Banking,Travel,Successful
T300131,C100207,2026-05-21,Debit,1611.09,IMPS,Groceries,Successful
T300132,C100409,2026-05-08,Debit,4523.72,NEFT,Shopping,Successful
T300133,C100304,2025-11-30,Debit,2889.33,Net Banking,Groceries,Successful
T300134,C100371,2025-08-31,Credit,2997.1,Net Banking,Travel,Successful
T300135,C100068,2026-06-29,Debit,1422.73,Card,Travel,Successful
T300136,C100247,2025-10-23,Debit,830.8,Card,Travel,Successful
T300137,C100283,2025-10-30,Debit,829.64,UPI,Shopping,Successful
T300138,C100012,2025-08-18,Credit,2845.53,NEFT,Healthcare,Successful
T300139,C100209,2025-08-20,Debit,10142.31,Net Banking,Education,Successful
T300140,C100267,2025-08-22,Debit,2498.53,UPI,Education,Successful
T300141,C100339,2026-05-23,Debit,1934.48,IMPS,Utilities,Successful
T300142,C100269,2026-05-18,Credit,10402.16,Card,Shopping,Reversed
T300143,C100357,2026-06-10,Debit,839.42,UPI,Shopping,Successful
T300144,C100199,2026-02-11,Credit,18799.59,Net Banking,Travel,Successful
T300145,C100141,2025-11-29,Debit,5782.11,UPI,Travel,Reversed
T300146,C100563,2025-09-05,Debit,5938.5,IMPS,Shopping,Successful
T300147,C100313,2025-12-20,Debit,5542.53,NEFT,Shopping,Successful
T300148,C100643,2026-06-03,Debit,3488.12,UPI,Education,Successful
T300149,C100037,2026-01-23,Credit,1558.07,Net Banking,Healthcare,Successful
T300150,C100403,2025-07-03,Debit,6131.68,IMPS,Healthcare,Failed
T300151,C100653,2026-05-25,Debit,684.14,Net Banking,Education,Successful
T300152,C100226,2025-12-13,Debit,2795.85,Card,Shopping,Successful
T300153,C100512,2026-06-19,Debit,2372.09,UPI,Healthcare,Successful
T300154,C100359,2025-07-22,Debit,4240.91,Net Banking,Education,Successful
T300155,C100230,2025-12-14,Debit,2569.39,NEFT,Groceries,Successful
T300156,C100403,2025-09-04,Credit,919.05,NEFT,Restaurants,Failed
T300157,C100098,2026-02-08,Debit,367.92,NEFT,Travel,Successful
T300158,C100161,2025-11-25,Credit,1675.31,NEFT,Utilities,Successful
T300159,C100353,2025-12-25,Debit,418.39,Card,Utilities,Successful
T300160,C100074,2026-06-20,Debit,2925.66,Card,Shopping,Successful
T300161,C100398,2026-03-16,Debit,3587.17,IMPS,Utilities,Successful
T300162,C100035,2025-08-10,Credit,552.06,IMPS,Groceries,Successful
T300163,C100487,2025-08-14,Credit,3757.89,UPI,Restaurants,Successful
T300164,C100651,2025-08-23,Credit,1654.74,Card,Education,Successful
T300165,C100381,2025-10-30,Credit,1400.24,IMPS,Education,Successful
T300166,C100585,2025-09-14,Credit,3764.62,NEFT,Utilities,Successful
T300167,C100761,2025-08-05,Debit,1239.69,UPI,Utilities,Successful
T300168,C100496,2025-10-20,Credit,4527.99,Card,Utilities,Successful
T300169,C100042,2026-04-03,Debit,496.28,Card,Healthcare,Successful
T300170,C100717,2026-02-20,Debit,4051.71,UPI,Healthcare,Successful
T300171,C100356,2025-09-21,Debit,956.91,Card,Utilities,Successful
T300172,C100654,2025-08-28,Debit,,Card,Travel,Successful
T300173,C100474,2025-09-02,Debit,4619.54,IMPS,Healthcare,Successful
T300174,C100512,2026-05-02,Debit,7168.1,UPI,Travel,Successful
T300175,C100004,2025-11-25,Debit,1727.89,Card,Groceries,Reversed
T300176,C100798,2025-07-12,Credit,1242.5,UPI,Restaurants,Successful
T300177,C100747,2026-03-07,Credit,1528.88,NEFT,Travel,Successful
T300178,C100406,2025-10-11,Credit,2669.72,NEFT,Restaurants,Successful
T300179,C100115,2025-07-09,Credit,6147.84,NEFT,Restaurants,Reversed
T300180,C100514,2025-09-20,Credit,1609.54,IMPS,Groceries,Successful
T300181,C100204,2026-02-07,Debit,6607.46,IMPS,Healthcare,Successful
T300182,C100698,2026-02-20,Credit,609.95,IMPS,Healthcare,Successful
T300183,C100257,2025-09-01,Debit,273.21,IMPS,Groceries,Successful
T300184,C100152,2026-02-26,Debit,4967.02,Card,Healthcare,Successful
T300185,C100262,2026-03-23,Credit,1038.77,IMPS,Healthcare,Successful
T300186,C100301,2026-01-24,Debit,452.36,Net Banking,Education,Successful
T300187,C100276,2025-10-15,Debit,2289.65,NEFT,Education,Successful
T300188,C100521,2025-11-25,Debit,1781.52,UPI,Utilities,Successful
T300189,C100097,2026-02-22,Credit,4531.73,IMPS,Healthcare,Successful
T300190,C100425,2025-11-29,Credit,45525.91,Card,Utilities,Successful
T300191,C100775,2025-07-14,Credit,2029.39,NEFT,Shopping,Successful
T300192,C100102,2026-05-17,Credit,1660.49,Net Banking,Education,Successful
T300193,C100409,2026-02-25,Debit,5435.59,IMPS,Shopping,Successful
T300194,C100474,2026-03-14,Debit,1176.15,UPI,Shopping,Successful
T300195,C100752,2026-02-05,Debit,2686.87,IMPS,Education,Successful
T300196,C100420,2026-01-14,Credit,3721.98,UPI,Groceries,Successful
T300197,C100075,2026-06-17,Debit,2644.56,NEFT,Healthcare,Successful
T300198,C100159,2026-03-14,Debit,11096.85,Card,Travel,Successful
T300199,C100684,2026-06-20,Credit,2799.67,UPI,Shopping,Successful
T300200,C100668,2026-03-31,Credit,1892.15,NEFT,Groceries,Successful
T300201,C100220,2026-06-11,Credit,452.85,UPI,Healthcare,Successful
T300202,C100159,2025-12-13,Debit,3157.93,IMPS,Shopping,Successful
T300203,C100118,2025-09-16,Debit,3409.49,UPI,Restaurants,Successful
T300204,C100581,2026-06-11,Debit,1285.34,IMPS,Healthcare,Successful
T300205,C100606,2025-09-29,Debit,299.7,IMPS,Utilities,Successful
T300206,C100279,2025-07-08,Debit,1168.07,IMPS,Healthcare,Successful
T300207,C100099,2026-05-30,Debit,8178.23,UPI,Restaurants,Successful
T300208,C100775,2025-10-14,Debit,6841.19,Card,Education,Failed
T300209,C100777,2025-08-30,Debit,2162.83,Net Banking,Utilities,Reversed
T300210,C100107,2025-11-13,Debit,6072.65,UPI,Restaurants,Successful
T300211,C100357,2025-09-14,Debit,3441.59,Card,Groceries,Successful
T300212,C100295,2025-09-10,Debit,10415.69,IMPS,Utilities,Successful
T300213,C100044,2026-04-15,Credit,4453.78,Net Banking,Utilities,Reversed
T300214,C100119,2026-01-03,Credit,1892.38,Net Banking,Education,Reversed
T300215,C100331,2026-05-14,Debit,1730.08,Card,Education,Successful
T300216,C100614,2026-05-10,Debit,533.55,UPI,Travel,Successful
T300217,C100615,2025-10-27,Debit,6502.65,Net Banking,Travel,Successful
T300218,C100564,2025-08-21,Debit,4904.89,NEFT,Healthcare,Successful
T300219,C100086,2026-03-15,Debit,13188.62,NEFT,Education,Successful
T300220,C100405,2026-06-09,Debit,932.41,Net Banking,Shopping,Successful
T300221,C100191,2026-01-14,Debit,826.49,Card,Groceries,Successful
T300222,C100458,2025-07-30,Debit,5544.5,NEFT,Restaurants,Successful
T300223,C100286,2026-05-28,Credit,1305.59,Card,Healthcare,Successful
T300224,C100194,2025-12-07,Debit,4056.27,NEFT,Groceries,Successful
T300225,C100743,2026-02-19,Debit,2212.22,NEFT,Travel,Successful
T300226,C100688,2025-08-31,Debit,806.4,NEFT,Restaurants,Successful
T300227,C100499,2026-02-20,Credit,6520.92,NEFT,Education,Successful
T300228,C100519,2025-09-14,Credit,17123.86,UPI,Shopping,Successful
T300229,C100185,2025-08-14,Debit,7372.37,Net Banking,Restaurants,Successful
T300230,C100054,2025-10-19,Debit,1699.28,Net Banking,Healthcare,Successful
T300231,C100492,2026-01-12,Debit,1815.18,NEFT,Restaurants,Successful
T300232,C100394,2025-09-04,Debit,1427.66,UPI,Healthcare,Successful
T300233,C100186,2026-02-05,Credit,4199.05,IMPS,Travel,Successful
T300234,C100229,2025-07-21,Debit,1047.09,IMPS,Healthcare,Successful
T300235,C100470,2026-06-27,Credit,1775.97,UPI,Education,Successful
T300236,C100499,2026-03-26,Debit,772.63,IMPS,Travel,Successful
T300237,C100718,2025-09-21,Debit,435.09,Net Banking,Utilities,Failed
T300238,C100676,2026-04-09,Debit,5163.58,Net Banking,Education,Successful
T300239,C100607,2026-05-15,Debit,998.08,NEFT,Restaurants,Successful
T300240,C100783,2025-09-24,Debit,224.64,NEFT,Travel,Successful
T300241,C100188,2026-01-07,Debit,1941.26,Net Banking,Groceries,Successful
T300242,C100025,2025-12-22,Debit,3674.27,NEFT,Groceries,Successful
T300243,C100778,2026-02-05,Debit,1250.18,IMPS,Education,Successful
T300244,C100338,2026-04-04,Debit,2760.59,Card,Groceries,Successful
T300245,C100443,2025-11-15,Credit,2483.44,Card,Shopping,Successful
T300246,C100236,2026-06-19,Credit,724.75,NEFT,Healthcare,Successful
T300247,C100588,2025-07-27,Credit,1338.6,NEFT,Utilities,Reversed
T300248,C100095,2026-06-23,Debit,3262.07,IMPS,Education,Successful
T300249,C100274,2025-09-30,Debit,1290.32,NEFT,Shopping,Successful
T300250,C100559,2026-03-20,Debit,577.39,NEFT,Restaurants,Successful
T300251,C100279,2026-01-25,Debit,4346.8,UPI,Shopping,Failed
T300252,C100785,2025-11-27,Debit,2478.6,Net Banking,Utilities,Failed
T300253,C100006,2025-09-11,Debit,4758.5,UPI,Travel,Successful
T300254,C100763,2026-06-03,Debit,,IMPS,Utilities,Successful
T300255,C100414,2025-12-22,Debit,3069.51,IMPS,Groceries,Failed
T300256,C100772,2025-09-25,Debit,1158.14,NEFT,Shopping,Failed
T300257,C100338,2025-07-10,Debit,3228.38,IMPS,Shopping,Reversed
T300258,C100404,2026-01-09,Debit,2223.49,UPI,Shopping,Successful
T300259,C100257,2025-09-16,Debit,2300.12,Card,Restaurants,Successful
T300260,C100363,2026-02-22,Debit,811.74,IMPS,Utilities,Successful
T300261,C100036,2025-07-15,Credit,435.0,NEFT,Education,Successful
T300262,C100087,2026-02-04,Debit,2440.64,IMPS,Shopping,Successful
T300263,C100012,2025-11-29,Debit,5664.02,IMPS,Education,Failed
T300264,C100469,2026-02-01,Debit,2767.74,NEFT,Travel,Successful
T300265,C100014,2025-07-18,Credit,889.84,NEFT,Travel,Successful
T300266,C100414,2026-06-16,Debit,5513.28,Net Banking,Healthcare,Successful
T300267,C100147,2026-06-30,Debit,790.08,Net Banking,Shopping,Successful
T300268,C100741,2026-03-07,Debit,2832.05,Card,Groceries,Successful
T300269,C100195,2026-05-09,Credit,10455.24,UPI,Restaurants,Successful
T300270,C100480,2025-07-13,Debit,9045.99,Card,Healthcare,Successful
T300271,C100692,2025-11-07,Debit,1744.36,Card,Restaurants,Successful
T300272,C100114,2026-04-25,Debit,803.19,UPI,Restaurants,Successful
T300273,C100794,2025-07-19,Debit,487.42,UPI,Shopping,Successful
T300274,C100307,2026-05-18,Debit,1615.69,Card,Restaurants,Successful
T300275,C100047,2026-05-18,Debit,320.63,Net Banking,Healthcare,Successful
T300276,C100723,2025-10-13,Credit,560.96,Card,Groceries,Successful
T300277,C100113,2025-11-11,Credit,1011.14,Card,Utilities,Successful
T300278,C100575,2025-11-08,Debit,4718.29,Net Banking,Utilities,Successful
T300279,C100038,2026-01-02,Debit,2513.08,Card,Travel,Successful
T300280,C100516,2026-03-26,Credit,2411.97,Card,Utilities,Successful
T300281,C100016,2026-03-07,Debit,1218.53,IMPS,Restaurants,Reversed
T300282,C100738,2026-03-16,Debit,687.72,Card,Utilities,Successful
T300283,C100533,2026-05-25,Debit,1753.14,UPI,Restaurants,Successful
T300284,C100162,2026-05-05,Credit,835.13,IMPS,Shopping,Successful
T300285,C100439,2026-05-20,Debit,585.43,IMPS,Restaurants,Successful
T300286,C100235,2026-05-09,Credit,1719.94,Net Banking,Shopping,Successful
T300287,C100718,2026-06-23,Debit,,UPI,Restaurants,Successful
T300288,C100461,2025-07-13,Debit,1098.52,Card,Shopping,Successful
T300289,C100579,2025-07-21,Credit,870.44,Net Banking,Travel,Successful
T300290,C100018,2025-11-16,Debit,956.06,Card,Groceries,Successful
T300291,C100636,2025-07-31,Credit,4086.26,Card,Restaurants,Successful
T300292,C100602,2025-10-01,Credit,1125.99,IMPS,Utilities,Successful
T300293,C100476,2026-06-19,Credit,5783.1,NEFT,Shopping,Successful
T300294,C100110,2026-05-19,Debit,1470.19,Card,Utilities,Successful
T300295,C100320,2025-08-27,Debit,1514.04,UPI,Education,Successful
T300296,C100715,2025-11-10,Debit,1867.55,Net Banking,Groceries,Successful
T300297,C100365,2025-10-20,Debit,1229.6,NEFT,Groceries,Successful
T300298,C100347,2025-12-06,Debit,2103.83,Card,Travel,Successful
T300299,C100023,2025-12-14,Debit,2098.05,Net Banking,Groceries,Successful
T300300,C100459,2025-07-04,Debit,245.79,UPI,Education,Successful
T300301,C100384,2026-02-23,Credit,1013.96,Card,Education,Successful
T300302,C100682,2025-10-25,Debit,5442.99,NEFT,Travel,Successful
T300303,C100516,2026-05-08,Credit,1122.2,Net Banking,Education,Successful
T300304,C100322,2026-03-14,Credit,2571.7,Net Banking,Education,Successful
T300305,C100102,2025-08-04,Credit,6238.94,UPI,Education,Successful
T300306,C100311,2025-09-01,Debit,1678.79,NEFT,Healthcare,Successful
T300307,C100595,2025-12-21,Credit,558.0,IMPS,Education,Successful
T300308,C100417,2025-09-15,Debit,7833.17,Card,Travel,Successful
T300309,C100369,2026-02-27,Credit,1728.01,Card,Shopping,Successful
T300310,C100456,2025-07-02,Credit,1008.8,UPI,Utilities,Successful
T300311,C100510,2026-06-11,Debit,3531.92,UPI,Shopping,Successful
T300312,C100216,2025-10-30,Debit,1638.13,IMPS,Healthcare,Successful
T300313,C100226,2025-11-14,Debit,1182.94,Net Banking,Shopping,Successful
T300314,C100606,2026-04-16,Debit,1290.44,Card,Shopping,Successful
T300315,C100189,2026-02-11,Debit,437.62,Net Banking,Groceries,Successful
T300316,C100770,2026-01-23,Debit,6345.72,IMPS,Shopping,Successful
T300317,C100684,2026-01-24,Credit,3764.36,NEFT,Healthcare,Successful
T300318,C100324,2026-06-09,Debit,2841.07,Card,Shopping,Successful
T300319,C100280,2025-07-02,Credit,1399.18,Card,Shopping,Successful
T300320,C100622,2026-05-09,Credit,4527.29,Card,Travel,Successful
T300321,C100286,2026-06-08,Debit,11721.68,Net Banking,Restaurants,Failed
T300322,C100423,2026-01-02,Debit,668.23,Card,Shopping,Successful
T300323,C100265,2026-05-04,Debit,1541.62,IMPS,Travel,Successful
T300324,C100789,2025-07-10,Debit,4053.5,Net Banking,Groceries,Successful
T300325,C100618,2026-04-27,Debit,1172.32,IMPS,Utilities,Successful
T300326,C100705,2025-12-03,Credit,1981.84,Net Banking,Restaurants,Successful
T300327,C100744,2026-02-19,Credit,1253.01,Net Banking,Education,Successful
T300328,C100036,2025-12-28,Debit,1802.64,NEFT,Travel,Successful
T300329,C100053,2026-06-24,Debit,3967.4,Card,Groceries,Successful
T300330,C100429,2025-10-04,Debit,831.22,NEFT,Groceries,Successful
T300331,C100455,2026-04-25,Credit,2956.04,IMPS,Groceries,Successful
T300332,C100507,2025-11-26,Credit,3519.5,Card,Groceries,Successful
T300333,C100341,2025-09-12,Debit,1150.21,Card,Shopping,Successful
T300334,C100204,2026-01-23,Debit,853.38,Card,Healthcare,Successful
T300335,C100472,2025-11-03,Debit,1403.16,Net Banking,Groceries,Successful
T300336,C100396,2026-05-09,Debit,758.14,UPI,Healthcare,Successful
T300337,C100535,2025-07-01,Debit,955.68,Card,Restaurants,Successful
T300338,C100253,2026-05-16,Debit,6501.22,UPI,Shopping,Successful
T300339,C100745,2026-01-27,Credit,1790.28,Net Banking,Utilities,Reversed
T300340,C100417,2025-07-07,Credit,1900.69,Card,Restaurants,Successful
T300341,C100783,2026-02-07,Credit,7107.45,IMPS,Groceries,Successful
T300342,C100732,2025-07-24,Debit,1039.63,Net Banking,Education,Successful
T300343,C100135,2025-07-26,Debit,1256.07,NEFT,Restaurants,Successful
T300344,C100727,2025-11-05,Debit,624.35,IMPS,Shopping,Successful
T300345,C100126,2026-06-25,Debit,5992.84,Card,Education,Successful
T300346,C100297,2026-05-31,Credit,3086.95,Card,Utilities,Successful
T300347,C100429,2026-04-01,Debit,1258.64,NEFT,Healthcare,Successful
T300348,C100615,2025-08-16,Debit,1601.4,NEFT,Shopping,Successful
T300349,C100212,2026-05-16,Debit,1748.25,IMPS,Utilities,Failed
T300350,C100177,2025-09-22,Debit,927.87,UPI,Groceries,Successful
T300351,C100724,2026-02-26,Debit,8074.09,IMPS,Groceries,Successful
T300352,C100713,2026-04-09,Debit,479.92,UPI,Travel,Successful
T300353,C100601,2026-04-25,Credit,7428.3,Card,Travel,Successful
T300354,C100381,2026-01-07,Credit,1543.46,NEFT,Travel,Successful
T300355,C100040,2025-08-04,Debit,1529.65,Net Banking,Restaurants,Successful
T300356,C100417,2025-08-28,Debit,2897.41,Card,Groceries,Successful
T300357,C100563,2025-11-02,Debit,835.15,IMPS,Healthcare,Successful
T300358,C100147,2025-12-24,Debit,2092.54,Card,Utilities,Successful
T300359,C100430,2026-06-21,Debit,5722.64,NEFT,Shopping,Successful
T300360,C100221,2025-08-20,Debit,2884.84,NEFT,Travel,Failed
T300361,C100721,2026-04-26,Debit,732.65,Card,Education,Successful
T300362,C100732,2026-04-17,Debit,514.57,Card,Groceries,Successful
T300363,C100109,2026-05-19,Debit,1639.38,NEFT,Restaurants,Successful
T300364,C100089,2025-08-01,Credit,3582.52,NEFT,Shopping,Reversed
T300365,C100602,2026-06-06,Debit,609.43,Card,Shopping,Successful
T300366,C100008,2025-10-07,Debit,909.13,NEFT,Utilities,Successful
T300367,C100341,2025-11-22,Credit,2248.54,NEFT,Groceries,Successful
T300368,C100120,2025-10-23,Credit,681.41,Net Banking,Groceries,Successful
T300369,C100232,2025-07-12,Debit,213.64,Net Banking,Travel,Successful
T300370,C100733,2025-09-24,Debit,1131.24,UPI,Healthcare,Successful
T300371,C100106,2026-01-07,Credit,712.18,NEFT,Groceries,Failed
T300372,C100183,2026-01-31,Debit,813.59,Net Banking,Groceries,Successful
T300373,C100207,2025-07-17,Credit,964.86,IMPS,Groceries,Successful
